CaseId,PacketId,SourceId,DestinationId,ApplicationBytes,Dscp,GeneratedSeconds,BeforeOutcome,AfterOutcome,BeforeLatencySeconds,AfterLatencySeconds,BothDeliveredLatencyDeltaSeconds,BeforeDropReason,AfterDropReason
offered_load_x2_seed129,14,3,1,64,0,267.0,delivered,delivered,0.159492666653477,0.159492666653477,0.0,,
offered_load_x2_seed129,15,2,1,64,0,271.5,delivered,delivered,0.235492666645314,0.235492666645314,0.0,,
offered_load_x2_seed129,16,3,1,64,0,271.5,delivered,delivered,2.28949266664165,2.28949266664165,0.0,,
offered_load_x2_seed129,17,2,1,64,0,276.0,delivered,delivered,0.207492666637336,0.207492666637336,0.0,,
offered_load_x2_seed129,18,3,1,64,0,276.0,delivered,delivered,0.376492666637034,0.376492666637034,0.0,,
offered_load_x2_seed129,19,2,1,64,0,280.5,delivered,delivered,2.32449266662553,2.32449266662553,0.0,,
offered_load_x2_seed129,20,3,1,64,0,280.5,delivered,delivered,4.62549266662143,4.62549266662143,0.0,,
offered_load_x2_seed129,21,2,1,64,0,285.0,delivered,delivered,2.20549266661772,2.20549266661772,0.0,,
offered_load_x2_seed129,22,3,1,64,0,285.0,delivered,delivered,0.450492666620846,0.450492666620846,0.0,,
offered_load_x2_seed129,23,2,1,64,0,289.5,delivered,delivered,2.41149266660932,2.41149266660932,0.0,,
offered_load_x2_seed129,24,3,1,64,0,289.5,delivered,delivered,0.305492666613077,0.305492666613077,0.0,,
offered_load_x2_seed129,25,2,1,64,0,294.0,delivered,delivered,0.160492666605307,0.160492666605307,0.0,,
offered_load_x2_seed129,26,3,1,64,0,294.0,delivered,delivered,0.35549266660496,0.35549266660496,0.0,,
offered_load_x2_seed129,27,2,1,64,0,298.5,delivered,delivered,0.197492666597213,0.197492666597213,0.0,,
offered_load_x2_seed129,28,3,1,64,0,298.5,delivered,delivered,0.418492666596819,0.418492666596819,0.0,,
offered_load_x2_seed129,29,2,1,64,0,303.0,delivered,delivered,2.47049266658513,2.47049266658513,0.0,,
offered_load_x2_seed129,30,3,1,64,0,303.0,delivered,delivered,0.286492666589027,0.286492666589027,0.0,,
offered_load_x2_seed130,1,2,1,64,0,240.0,delivered,delivered,2.78449266666772,2.78449266666772,0.0,,
offered_load_x2_seed130,2,3,1,64,0,240.0,delivered,delivered,1.46295266666681,1.46295266666681,0.0,,
offered_load_x2_seed130,3,2,1,64,0,244.5,delivered,delivered,0.325492666668538,0.325492666668538,0.0,,
offered_load_x2_seed130,4,3,1,64,0,244.5,delivered,delivered,2.44449266666939,2.44449266666939,0.0,,
offered_load_x2_seed130,5,2,1,64,0,249.0,delivered,delivered,0.154492666670279,0.154492666670279,0.0,,
offered_load_x2_seed130,6,3,1,64,0,249.0,delivered,delivered,2.39049266667118,2.39049266667118,0.0,,
offered_load_x2_seed130,7,2,1,64,0,253.5,delivered,delivered,2.27149266667294,2.27149266667294,0.0,,
offered_load_x2_seed130,8,3,1,64,0,253.5,delivered,delivered,0.152492666672089,0.152492666672089,0.0,,
offered_load_x2_seed130,9,2,1,64,0,258.0,delivered,delivered,0.22849266666941,0.22849266666941,0.0,,
offered_load_x2_seed130,10,3,1,64,0,258.0,delivered,delivered,0.358492666669179,0.358492666669179,0.0,,
offered_load_x2_seed130,11,2,1,64,0,262.5,delivered,delivered,2.31949266665765,2.31949266665765,0.0,,
offered_load_x2_seed130,12,3,1,64,0,262.5,delivered,delivered,0.25249266666134,0.25249266666134,0.0,,
offered_load_x2_seed130,13,2,1,64,0,267.0,delivered,delivered,0.35449266665313,0.35449266665313,0.0,,
offered_load_x2_seed130,14,3,1,64,0,267.0,delivered,delivered,2.48649266664933,2.48649266664933,0.0,,
offered_load_x2_seed130,15,2,1,64,0,271.5,delivered,delivered,0.222492666645337,0.222492666645337,0.0,,
offered_load_x2_seed130,16,3,1,64,0,271.5,delivered,delivered,2.4844926666413,2.4844926666413,0.0,,
offered_load_x2_seed130,17,2,1,64,0,276.0,delivered,delivered,0.324492666637127,0.324492666637127,0.0,,
offered_load_x2_seed130,18,3,1,64,0,276.0,delivered,delivered,0.181492666637382,0.181492666637382,0.0,,
offered_load_x2_seed130,19,2,1,64,0,280.5,delivered,delivered,0.179492666629358,0.179492666629358,0.0,,
offered_load_x2_seed130,20,3,1,64,0,280.5,delivered,delivered,2.44149266662532,2.44149266662532,0.0,,
offered_load_x2_seed130,21,2,1,64,0,285.0,delivered,delivered,0.164492666621356,0.164492666621356,0.0,,
offered_load_x2_seed130,22,3,1,64,0,285.0,delivered,delivered,2.32249266661751,2.32249266661751,0.0,,
