seed,node,source,start_s,end_s,source_attempts,source_admitted,source_blocked,source_delivered_events,nwk_enqueued,nwk_submitted,nwk_released,hop_admitted,hop_sent_callbacks,hop_retry_requests,hop_acks,hop_dacks,hop_dack_expired,hop_failed,mean_nwk_custody,mean_nwk_pre_first_submit,mean_hop_capacity,mean_dack_hold
128,2,8,4200.0,4500.0,15000,21,14979,19,21,21,21,21,28,7,14,7,6,0,16.53196014674266,16.36085681655774,0.6471190186326566,0.47601568844773584
128,2,8,4500.0,4800.0,15000,28,14972,22,26,26,25,26,33,7,20,5,6,0,15.722133806081471,15.543411455319271,0.5408966634256679,0.36217431266346767
128,2,8,4800.0,5100.0,15000,27,14973,11,27,28,29,28,31,3,0,29,27,0,15.701551670027735,15.545034029772125,1.9657156852067297,1.8091980449511205
128,2,8,5100.0,5400.0,15000,23,14977,23,23,22,22,22,28,6,0,22,24,0,16.4215923565468,16.293742360621195,1.7649019556970749,1.6370519597714732
128,2,8,5400.0,5700.0,15000,22,14978,20,22,20,19,20,25,6,0,19,19,0,16.30869547137506,16.202993120520258,1.4252756859475388,1.3195733350927368
128,2,8,5700.0,6000.0,15000,29,14971,20,29,33,34,33,40,6,10,24,22,0,18.573831128263347,18.332573488192935,1.7328523512252043,1.4915947111547938
128,7,7,0.0,300.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
128,7,7,300.0,600.0,15000,101,14899,0,101,87,85,87,115,29,38,44,42,3,15.98745660107608,15.382440511876181,3.5438174768091852,2.9388013876092867
128,7,7,600.0,900.0,15000,42,14958,34,42,40,42,40,55,14,13,27,27,2,15.998635659111187,15.750282331796418,2.0513799964814527,1.8030266691666865
128,7,7,900.0,1200.0,15000,29,14971,32,29,29,29,29,34,5,1,28,28,0,15.998798269388317,15.873604941332445,1.9999999973146696,1.874806669258799
128,7,7,1200.0,1500.0,15000,28,14972,23,28,28,28,28,28,0,0,28,28,0,15.998370627915335,15.893760633100003,1.9999999974071967,1.8953900025918664
128,7,7,1500.0,1800.0,15000,28,14972,22,28,28,28,28,31,3,0,28,28,0,15.998690627915334,15.873367299766667,1.9999999974071951,1.8746766692585288
128,7,7,1800.0,2100.0,15000,40,14960,30,40,40,40,40,53,13,15,23,24,2,15.998507042832067,15.7566723315184,1.7989723550084993,1.5571376436948305
128,7,7,2100.0,2400.0,15000,35,14965,34,35,35,35,35,41,6,11,23,22,1,15.998759810179903,15.837239815457336,1.7606456886194974,1.5991256938969338
128,7,7,2400.0,2700.0,15000,41,14959,28,41,41,41,41,49,8,6,35,34,0,15.998659967065999,15.823513307343461,2.545665688063738,2.3705190283412017
128,7,7,2700.0,3000.0,15000,53,14947,29,53,53,53,53,57,4,4,48,48,1,15.997134023363403,15.763545007428675,3.4534690203784324,3.2198800044437044
128,7,7,3000.0,3300.0,15000,42,14958,25,42,42,42,42,50,8,0,42,42,0,15.998234275205693,15.816554282983331,2.9999999961108004,2.818320003888442
128,7,7,3300.0,3600.0,15000,41,14959,45,41,41,41,41,48,7,0,41,41,0,15.998413300399404,15.83085997465833,2.9999999962034085,2.8324466704623363
128,7,7,3600.0,3900.0,15000,42,14958,18,42,42,42,42,51,9,0,42,42,0,15.997334275205663,15.775070949649999,2.999999996110796,2.7777366705551323
128,7,7,3900.0,4200.0,15000,42,14958,46,42,43,42,43,49,7,0,42,43,0,15.998494275205497,15.832915257975007,2.999999996018199,2.8344209787877057
128,7,7,4200.0,4500.0,15000,38,14962,30,38,37,38,37,44,6,0,37,37,1,15.998972734598674,15.841079408025005,2.6638999966663928,2.5060066700927233
128,7,7,4500.0,4800.0,15000,29,14971,43,29,29,29,29,37,8,1,28,28,0,15.999141602720899,15.864674941332405,1.9999999973145925,1.865533335926099
128,7,7,4800.0,5100.0,15000,30,14970,19,30,30,30,30,33,3,3,27,27,0,15.998835910860784,15.881745916138849,1.999999997222015,1.8829100025000813
128,7,7,5100.0,5400.0,15000,28,14972,27,28,30,28,30,30,2,0,28,30,0,15.99883062791451,15.881425916416674,1.9999999972219908,1.8825952857241555
128,7,7,5400.0,5700.0,15000,28,14972,23,28,27,28,27,33,5,0,28,27,0,15.998827294581112,15.864932991441673,1.99999999749979,1.866105694360352
128,7,7,5700.0,6000.0,15000,31,14969,25,31,30,31,30,35,4,3,28,27,0,15.998713552333841,15.857835916138875,1.999999997222,1.8591223610270329
128,8,7,0.0,300.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
128,8,7,300.0,600.0,15000,101,14899,0,82,64,64,64,85,22,17,45,41,2,16.48030897080324,15.569714283107071,3.970150753551654,3.0595560658554852
128,8,7,600.0,900.0,15000,42,14958,34,40,40,40,40,66,27,0,38,40,2,16.563325751697167,16.197897727889863,3.267913329814788,2.902485306007487
128,8,7,900.0,1200.0,15000,29,14971,32,29,31,31,31,38,7,0,31,31,0,17.52312531631967,17.37855532206071,2.2857833304628086,2.141213336203848
128,8,7,1200.0,1500.0,15000,28,14972,23,28,22,22,22,27,5,0,21,21,1,19.577234846366466,19.467555834833473,1.6028590134775982,1.493180001944601
128,8,7,1500.0,1800.0,15000,28,14972,22,28,36,36,36,51,15,10,24,23,2,23.33707431143333,23.07549530091893,1.8314346948256661,1.569855684311266
128,8,7,1800.0,2100.0,15000,40,14960,30,38,35,35,35,45,10,8,26,26,1,16.419353896609067,16.19926155294654,2.2060690127367995,1.9859766690742686
128,8,7,2100.0,2400.0,15000,35,14965,34,34,34,34,34,47,13,6,27,26,1,17.605460411349867,17.38845806796514,1.9817346946404633,1.764732351255734
128,8,7,2400.0,2700.0,15000,41,14959,28,41,46,46,46,71,26,20,22,24,4,18.031640315015704,17.555964257956905,2.0965413615849307,1.6208653045261325
128,8,7,2700.0,3000.0,15000,53,14947,29,52,43,43,43,59,16,5,36,36,2,22.27230287414044,21.97081484931504,3.016054694825666,2.714566670000269
128,8,7,3000.0,3300.0,15000,42,14958,25,42,39,39,39,57,18,0,38,37,1,22.120820335323938,21.82156799268,2.83752469491827,2.538272352274333
128,8,7,3300.0,3600.0,15000,41,14959,45,41,42,42,42,59,17,4,37,36,1,24.40869599691937,24.10539698723836,3.029258028529404,2.7259590188483966
128,8,7,3600.0,3900.0,15000,42,14958,18,42,36,36,36,46,10,0,35,37,1,24.0795873818683,23.89010503857617,2.8190243156887314,2.6295419723966007
128,8,7,3900.0,4200.0,15000,42,14958,46,42,42,40,42,50,8,0,40,40,0,31.30658230420184,31.09424761326536,2.8972580279738014,2.6849233370373273
128,8,7,4200.0,4500.0,15000,38,14962,30,37,42,44,42,54,12,0,44,43,0,30.104876449508694,29.860724488038898,3.2497709809664017,3.0056190194966046
128,8,7,4500.0,4800.0,15000,29,14971,43,29,37,37,37,52,15,0,37,38,0,19.666387889897653,19.40538456258331,2.8132943153183563,2.552290988004015
128,8,7,4800.0,5100.0,15000,30,14970,19,30,28,28,28,38,10,4,23,24,1,17.0513853369984,16.88334965870613,1.9444066649998695,1.7763709867075976
128,8,7,5100.0,5400.0,15000,28,14972,27,28,26,26,26,30,4,2,24,23,0,18.80038976870026,18.695959773145052,1.665105679866474,1.5606756843112666
128,8,7,5400.0,5700.0,15000,28,14972,23,28,30,30,30,38,8,0,30,30,0,20.168363706640903,20.020430378122764,2.3812066646294685,2.2332733361113304
128,8,7,5700.0,6000.0,15000,31,14969,25,31,34,34,34,49,15,1,32,31,1,17.665781869103053,17.43146619266279,2.5811613614923345,2.34684568505207
128,8,8,0.0,300.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
128,8,8,300.0,600.0,15000,89,14911,4,89,73,73,73,88,16,21,52,48,0,15.98838186742033,15.026737560250018,4.460913707007284,3.4992693998369737
