time_s,node,nwk_queue,nsdp_3_1,hop_pending_data,hop_resend_queue,mac_queue,mac_ack_queue,selected_route_1,selected_route_cost,active_peer_1,active_peer_2,active_peer_3,inactive_neighbor_drops,post_phy_eligibility_drops,app_deliveries,link_failure_callbacks
180,2,0,0,0,0,0,0,1,6274,1,0,1,0,0,0,0
180,3,0,0,0,0,0,0,1,12548,0,1,0,0,0,0,0
185,1,0,0,0,0,0,0,0,,0,1,0,0,0,0,0
185,2,0,0,0,0,0,0,1,6274,1,0,1,0,0,0,0
185,3,0,0,0,0,0,0,1,12548,0,1,0,0,0,0,0
190,1,0,0,0,0,0,0,0,,0,1,0,0,0,0,0
190,2,0,0,0,0,0,0,1,6274,1,0,1,0,0,0,0
190,3,0,0,0,0,0,0,1,12548,0,1,0,0,0,0,0
195,1,0,0,0,0,0,0,0,,0,1,0,0,0,0,0
195,2,0,0,0,0,0,0,1,6274,1,0,1,0,0,0,0
195,3,0,0,0,0,0,0,1,12548,0,1,0,0,0,0,0
200,1,0,0,0,0,0,0,0,,0,1,0,0,0,0,0
200,2,0,0,0,0,0,0,1,6274,1,0,1,0,0,0,0
200,3,0,0,0,0,0,0,1,12548,0,1,0,0,0,0,0
205,1,0,0,0,0,0,0,0,,0,1,0,0,0,0,0
205,2,0,0,0,0,0,0,1,6274,1,0,1,0,0,0,0
205,3,0,0,0,0,0,0,1,12548,0,1,0,0,0,0,0
210,1,0,0,0,0,0,0,0,,0,1,0,0,0,0,0
210,2,0,0,0,0,0,0,1,6274,1,0,1,0,0,0,0
210,3,0,0,0,0,0,0,1,12548,0,1,0,0,0,0,0
215,1,0,0,0,0,0,0,0,,0,1,0,0,0,0,0
215,2,0,0,0,0,0,0,1,6274,1,0,1,0,0,0,0
215,3,0,0,0,0,0,0,1,12548,0,1,0,0,0,0,0
220,1,0,0,0,0,0,0,0,,0,1,0,0,0,0,0
220,2,0,0,0,0,0,0,1,6274,1,0,1,0,0,0,0
220,3,0,0,0,0,0,0,1,12548,0,1,0,0,0,0,0
225,1,0,0,0,0,0,0,0,,0,1,0,0,0,0,0
225,2,0,0,0,0,0,0,1,6274,1,0,1,0,0,0,0
225,3,0,0,0,0,0,0,1,12548,0,1,0,0,0,0,0
230,1,0,0,0,0,0,0,0,,0,1,0,0,0,0,0
230,2,0,0,0,0,0,0,1,6274,1,0,1,0,0,0,0
230,3,0,0,0,0,0,0,1,12548,0,1,0,0,0,0,0
235,1,0,0,0,0,0,0,0,,0,1,0,0,0,0,0
235,2,0,0,0,0,0,0,1,6274,1,0,1,0,0,0,0
235,3,0,0,0,0,0,0,1,12548,0,1,0,0,0,0,0
240,1,0,0,0,0,0,0,0,,0,1,0,0,0,0,0
240,2,0,0,0,0,0,0,1,6274,1,0,1,0,0,0,0
240,3,0,0,0,0,0,0,1,12548,0,1,0,0,0,0,0
245,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
245,2,0,0,0,0,0,0,0,,0,0,1,0,0,0,0
245,3,0,0,0,0,0,0,1,12548,0,1,0,0,0,0,0
250,1,0,0,0,0,4,4,0,,0,1,0,0,0,0,0
250,2,0,0,0,3,6,4,1,6274,1,0,1,0,0,0,0
250,3,0,0,0,2,2,2,1,12548,0,1,0,0,0,0,0
255,1,0,0,0,0,0,0,0,,0,1,0,0,0,0,0
255,2,0,0,0,0,0,0,1,6274,1,0,1,0,0,0,0
255,3,0,0,0,0,0,0,1,12548,0,1,0,0,0,0,0
260,1,0,0,0,0,0,0,0,,0,1,0,0,0,0,0
260,2,0,0,0,0,0,0,1,6274,1,0,1,0,0,0,0
260,3,0,0,0,0,0,0,1,12548,0,1,0,0,0,0,0
265,1,0,0,0,0,0,0,0,,0,1,0,0,0,0,0
265,2,0,0,0,0,0,0,1,6274,1,0,1,0,0,0,0
265,3,0,0,0,0,0,0,1,12548,0,1,0,0,0,0,0
270,1,0,0,0,0,0,0,0,,0,1,0,0,0,0,0
270,2,0,0,0,0,0,0,1,6274,1,0,1,0,0,0,0
270,3,0,0,0,0,0,0,1,12548,0,1,0,0,0,0,0
275,1,0,0,0,0,0,0,0,,0,1,0,0,0,0,0
275,2,0,0,0,0,0,0,1,6274,1,0,1,0,0,0,0
275,3,0,0,0,0,0,0,1,12548,0,1,0,0,0,0,0
280,1,0,0,0,0,0,0,0,,0,1,0,0,0,0,0
280,2,0,0,0,0,0,0,1,6274,1,0,1,0,0,0,0
280,3,0,0,0,0,0,0,1,12548,0,1,0,0,0,0,0
285,1,0,0,0,0,0,0,0,,0,1,0,0,0,0,0
285,2,0,0,0,0,0,0,1,6274,1,0,1,0,0,0,0
285,3,0,0,0,0,0,0,1,12548,0,1,0,0,0,0,0
290,1,0,0,0,0,0,0,0,,0,1,0,0,0,0,0
290,2,0,0,0,0,0,0,1,6274,1,0,1,0,0,0,0
290,3,0,0,0,0,0,0,1,12548,0,1,0,0,0,0,0
295,1,0,0,0,0,0,0,0,,0,1,0,0,0,0,0
295,2,0,0,0,0,0,0,1,6274,1,0,1,0,0,0,0
295,3,0,0,0,0,0,0,1,12548,0,1,0,0,0,0,0
300,1,0,0,0,0,0,0,0,,0,1,0,0,0,0,0
300,2,0,0,0,0,0,0,1,6274,1,0,1,0,0,0,0
300,3,0,0,0,0,0,0,1,12548,0,1,0,0,0,0,0
305,1,0,0,0,0,0,0,0,,0,1,0,0,0,0,0
305,2,0,0,0,0,0,0,1,6274,1,0,1,0,0,0,0
305,3,0,0,0,0,0,0,1,12548,0,1,0,0,0,0,0
310,1,0,0,0,0,0,0,0,,0,1,0,0,0,0,0
310,2,0,0,0,0,0,0,1,6274,1,0,1,0,0,0,0
310,3,0,0,0,0,0,0,1,12548,0,1,0,0,0,0,0
315,1,0,0,0,0,0,0,0,,0,1,0,0,0,0,0
315,2,0,0,0,0,0,0,1,6274,1,0,1,0,0,0,0
315,3,0,0,0,0,0,0,1,12548,0,1,0,0,0,0,0
320,1,0,0,0,0,0,0,0,,0,1,0,0,0,0,0
320,2,0,0,0,0,0,0,1,6274,1,0,1,0,0,0,0
320,3,0,0,0,0,0,0,1,12548,0,1,0,0,0,0,0
325,1,0,0,0,0,0,0,0,,0,1,0,0,0,0,0
325,2,0,0,0,0,0,0,1,6274,1,0,1,0,0,0,0
325,3,0,0,0,0,0,0,1,12548,0,1,0,0,0,0,0
330,1,0,0,0,0,0,0,0,,0,1,0,0,0,0,0
330,2,0,0,0,0,0,0,1,6274,1,0,1,0,0,0,0
330,3,0,0,0,0,0,0,1,12548,0,1,0,0,0,0,0
335,1,0,0,0,0,0,0,0,,0,1,0,0,0,0,0
335,2,0,0,0,0,0,0,1,6274,1,0,1,0,0,0,0
335,3,0,0,0,0,0,0,1,12548,0,1,0,0,0,0,0
340,1,0,0,0,0,0,0,0,,0,1,0,0,0,0,0
340,2,0,0,0,0,0,0,1,6274,1,0,1,0,0,0,0
340,3,0,0,0,0,0,0,1,12548,0,1,0,0,0,0,0
345,1,0,0,0,0,0,0,0,,0,1,0,0,0,0,0
345,2,0,0,0,0,0,0,1,6274,1,0,1,0,0,0,0
345,3,0,0,0,0,0,0,1,12548,0,1,0,0,0,0,0
350,1,0,0,0,0,0,0,0,,0,1,0,0,0,0,0
350,2,0,0,0,0,0,0,1,6274,1,0,1,0,0,0,0
350,3,0,0,0,0,0,0,1,12548,0,1,0,0,0,0,0
355,1,0,0,0,0,0,0,0,,0,1,0,0,0,0,0
355,2,0,0,0,0,0,0,1,6274,1,0,1,0,0,0,0
355,3,0,0,0,0,0,0,1,12548,0,1,0,0,0,0,0
360,1,0,0,0,0,0,0,0,,0,1,0,0,0,0,0
360,2,0,0,0,0,0,0,1,6274,1,0,1,0,0,0,0
360,3,0,0,0,0,0,0,1,12548,0,1,0,0,0,0,0
365,1,0,0,0,0,0,0,0,,0,1,0,0,0,0,0
365,2,0,0,0,0,0,0,1,6274,1,0,1,0,0,0,0
365,3,0,0,0,0,0,0,1,12548,0,1,0,0,0,0,0
370,1,0,0,0,0,0,0,0,,0,1,0,0,0,0,0
370,2,0,0,0,0,0,0,1,6274,1,0,1,0,0,0,0
370,3,0,0,0,0,0,0,1,12548,0,1,0,0,0,0,0
375,1,0,0,0,0,0,0,0,,0,1,0,0,0,0,0
375,2,0,0,0,0,0,0,1,6274,1,0,1,0,0,0,0
375,3,0,0,0,0,0,0,1,12548,0,1,0,0,0,0,0
380,1,0,0,0,0,0,0,0,,0,1,0,0,0,0,0
380,2,0,0,0,0,0,0,1,6274,1,0,1,0,0,0,0
380,3,0,0,0,0,0,0,1,12548,0,1,0,0,0,0,0
385,1,0,0,0,0,0,0,0,,0,1,0,0,0,0,0
385,2,0,0,0,0,0,0,1,6274,1,0,1,0,0,0,0
385,3,0,0,0,0,0,0,1,12548,0,1,0,0,0,0,0
390,1,0,0,0,0,0,0,0,,0,1,0,0,0,0,0
390,2,0,0,0,0,0,0,1,6274,1,0,1,0,0,0,0
390,3,0,0,0,0,0,0,1,12548,0,1,0,0,0,0,0
395,1,0,0,0,0,0,0,0,,0,1,0,0,0,0,0
395,2,0,0,0,0,0,0,1,6274,1,0,1,0,0,0,0
