case,order,time_ns,event,node,peer,app_source,app_id,hop_seq,ack_bits,dack_bits,mac_state,ack_queue,data_queue,prep,counter,opportunity,advertised,hop_pending,neighbor_outstanding,neighbor_threshold,resend_queue,admitted,rate_kbps,power_dbm
ab,106,480000000,blocked,3,1,3,2,0,0,0,1,0,0,0,-1,9,1,1,1,0,1,1,0,0
ab,107,500000000,offer,2,1,2,2,0,0,0,1,0,0,0,-1,3,7,1,1,0,1,1,0,0
ab,108,500000000,blocked,2,1,2,2,0,0,0,1,0,0,0,-1,3,7,1,1,0,1,1,0,0
ab,109,500000000,offer,3,1,3,2,0,0,0,1,0,0,0,-1,9,1,1,1,0,1,1,0,0
ab,110,500000000,blocked,3,1,3,2,0,0,0,1,0,0,0,-1,9,1,1,1,0,1,1,0,0
ab,111,520000000,offer,2,1,2,2,0,0,0,1,0,0,0,-1,3,7,1,1,0,1,1,0,0
ab,112,520000000,blocked,2,1,2,2,0,0,0,1,0,0,0,-1,3,7,1,1,0,1,1,0,0
ab,113,520000000,offer,3,1,3,2,0,0,0,1,0,0,0,-1,9,1,1,1,0,1,1,0,0
ab,114,520000000,blocked,3,1,3,2,0,0,0,1,0,0,0,-1,9,1,1,1,0,1,1,0,0
ab,115,540000000,offer,2,1,2,2,0,0,0,1,0,0,0,-1,3,7,1,1,0,1,1,0,0
ab,116,540000000,blocked,2,1,2,2,0,0,0,1,0,0,0,-1,3,7,1,1,0,1,1,0,0
ab,117,540000000,offer,3,1,3,2,0,0,0,1,0,0,0,-1,9,1,1,1,0,1,1,0,0
ab,118,540000000,blocked,3,1,3,2,0,0,0,1,0,0,0,-1,9,1,1,1,0,1,1,0,0
ab,119,560000000,offer,2,1,2,2,0,0,0,1,0,0,0,-1,3,7,1,1,0,1,1,0,0
ab,120,560000000,blocked,2,1,2,2,0,0,0,1,0,0,0,-1,3,7,1,1,0,1,1,0,0
ab,121,560000000,offer,3,1,3,2,0,0,0,1,0,0,0,-1,9,1,1,1,0,1,1,0,0
ab,122,560000000,blocked,3,1,3,2,0,0,0,1,0,0,0,-1,9,1,1,1,0,1,1,0,0
ab,123,580000000,offer,2,1,2,2,0,0,0,1,0,0,0,-1,3,7,1,1,0,1,1,0,0
ab,124,580000000,blocked,2,1,2,2,0,0,0,1,0,0,0,-1,3,7,1,1,0,1,1,0,0
ab,125,580000000,offer,3,1,3,2,0,0,0,1,0,0,0,-1,9,1,1,1,0,1,1,0,0
ab,126,580000000,blocked,3,1,3,2,0,0,0,1,0,0,0,-1,9,1,1,1,0,1,1,0,0
ab,127,600000000,offer,2,1,2,2,0,0,0,1,0,0,0,-1,3,7,1,1,0,1,1,0,0
ab,128,600000000,blocked,2,1,2,2,0,0,0,1,0,0,0,-1,3,7,1,1,0,1,1,0,0
ab,129,600000000,offer,3,1,3,2,0,0,0,1,0,0,0,-1,9,1,1,1,0,1,1,0,0
ab,130,600000000,blocked,3,1,3,2,0,0,0,1,0,0,0,-1,9,1,1,1,0,1,1,0,0
ab,131,620000000,offer,2,1,2,2,0,0,0,1,0,0,0,-1,3,7,1,1,0,1,1,0,0
ab,132,620000000,blocked,2,1,2,2,0,0,0,1,0,0,0,-1,3,7,1,1,0,1,1,0,0
ab,133,620000000,offer,3,1,3,2,0,0,0,1,0,0,0,-1,9,1,1,1,0,1,1,0,0
ab,134,620000000,blocked,3,1,3,2,0,0,0,1,0,0,0,-1,9,1,1,1,0,1,1,0,0
ab,135,640000000,offer,2,1,2,2,0,0,0,1,0,0,0,-1,3,7,1,1,0,1,1,0,0
ab,136,640000000,blocked,2,1,2,2,0,0,0,1,0,0,0,-1,3,7,1,1,0,1,1,0,0
ab,137,640000000,offer,3,1,3,2,0,0,0,1,0,0,0,-1,9,1,1,1,0,1,1,0,0
ab,138,640000000,blocked,3,1,3,2,0,0,0,1,0,0,0,-1,9,1,1,1,0,1,1,0,0
ab,139,660000000,offer,2,1,2,2,0,0,0,1,0,0,0,-1,3,7,1,1,0,1,1,0,0
ab,140,660000000,blocked,2,1,2,2,0,0,0,1,0,0,0,-1,3,7,1,1,0,1,1,0,0
ab,141,660000000,offer,3,1,3,2,0,0,0,1,0,0,0,-1,9,1,1,1,0,1,1,0,0
ab,142,660000000,blocked,3,1,3,2,0,0,0,1,0,0,0,-1,9,1,1,1,0,1,1,0,0
ab,143,680000000,offer,2,1,2,2,0,0,0,1,0,0,0,-1,3,7,1,1,0,1,1,0,0
ab,144,680000000,blocked,2,1,2,2,0,0,0,1,0,0,0,-1,3,7,1,1,0,1,1,0,0
ab,145,680000000,offer,3,1,3,2,0,0,0,1,0,0,0,-1,9,1,1,1,0,1,1,0,0
ab,146,680000000,blocked,3,1,3,2,0,0,0,1,0,0,0,-1,9,1,1,1,0,1,1,0,0
ab,147,698501000,tx_start,1,2,0,0,1,1,0,3,2,0,0,1,1,1,0,0,0,0,0,128,33
ab,148,698501000,tx_start,1,3,0,0,1,1,0,3,2,0,0,1,1,1,0,0,0,0,0,128,33
ab,149,700000000,offer,2,1,2,2,0,0,0,1,0,0,0,-1,3,7,1,1,0,1,1,0,0
ab,150,700000000,blocked,2,1,2,2,0,0,0,1,0,0,0,-1,3,7,1,1,0,1,1,0,0
ab,151,700000000,offer,3,1,3,2,0,0,0,1,0,0,0,-1,9,1,1,1,0,1,1,0,0
ab,152,700000000,blocked,3,1,3,2,0,0,0,1,0,0,0,-1,9,1,1,1,0,1,1,0,0
ab,153,720000000,offer,2,1,2,2,0,0,0,1,0,0,0,-1,3,7,1,1,0,1,1,0,0
