case,order,time_ns,event,node,peer,app_source,app_id,hop_seq,ack_bits,dack_bits,mac_state,ack_queue,data_queue,prep,counter,opportunity,advertised,hop_pending,neighbor_outstanding,neighbor_threshold,resend_queue,admitted,rate_kbps,power_dbm
slow,88,420000000,offer,2,1,2,2,0,0,0,1,0,0,0,3,3,7,1,1,0,1,1,0,0
slow,89,420000000,blocked,2,1,2,2,0,0,0,1,0,0,0,3,3,7,1,1,0,1,1,0,0
slow,90,420000000,offer,3,1,3,2,0,0,0,1,0,1,1,0,-1,-1,1,1,0,1,1,0,0
slow,91,420000000,blocked,3,1,3,2,0,0,0,1,0,1,1,0,-1,-1,1,1,0,1,1,0,0
slow,92,429000000,tx_start,3,1,3,1,1,0,0,3,0,1,0,1,9,1,1,1,0,1,1,128,33
slow,93,440000000,offer,2,1,2,2,0,0,0,1,0,0,0,2,3,7,1,1,0,1,1,0,0
slow,94,440000000,blocked,2,1,2,2,0,0,0,1,0,0,0,2,3,7,1,1,0,1,1,0,0
slow,95,440000000,offer,3,1,3,2,0,0,0,3,0,0,0,1,9,1,1,1,0,1,1,0,0
slow,96,440000000,blocked,3,1,3,2,0,0,0,3,0,0,0,1,9,1,1,1,0,1,1,0,0
slow,97,451501000,ingress_before,1,3,3,1,1,0,0,1,1,0,1,28,-1,-1,0,0,0,0,0,128,33
slow,98,451501000,ingress_after,1,3,3,1,1,0,0,1,2,0,1,28,-1,-1,0,0,0,0,0,128,33
slow,99,460000000,offer,2,1,2,2,0,0,0,1,0,0,0,0,3,7,1,1,0,1,1,0,0
slow,100,460000000,blocked,2,1,2,2,0,0,0,1,0,0,0,0,3,7,1,1,0,1,1,0,0
slow,101,460000000,offer,3,1,3,2,0,0,0,1,0,0,0,0,9,1,1,1,0,1,1,0,0
slow,102,460000000,blocked,3,1,3,2,0,0,0,1,0,0,0,0,9,1,1,1,0,1,1,0,0
slow,103,480000000,offer,2,1,2,2,0,0,0,1,0,0,0,-1,3,7,1,1,0,1,1,0,0
slow,104,480000000,blocked,2,1,2,2,0,0,0,1,0,0,0,-1,3,7,1,1,0,1,1,0,0
slow,105,480000000,offer,3,1,3,2,0,0,0,1,0,0,0,-1,9,1,1,1,0,1,1,0,0
slow,106,480000000,blocked,3,1,3,2,0,0,0,1,0,0,0,-1,9,1,1,1,0,1,1,0,0
slow,107,500000000,offer,2,1,2,2,0,0,0,1,0,0,0,-1,3,7,1,1,0,1,1,0,0
slow,108,500000000,blocked,2,1,2,2,0,0,0,1,0,0,0,-1,3,7,1,1,0,1,1,0,0
slow,109,500000000,offer,3,1,3,2,0,0,0,1,0,0,0,-1,9,1,1,1,0,1,1,0,0
slow,110,500000000,blocked,3,1,3,2,0,0,0,1,0,0,0,-1,9,1,1,1,0,1,1,0,0
slow,111,520000000,offer,2,1,2,2,0,0,0,1,0,0,0,-1,3,7,1,1,0,1,1,0,0
slow,112,520000000,blocked,2,1,2,2,0,0,0,1,0,0,0,-1,3,7,1,1,0,1,1,0,0
slow,113,520000000,offer,3,1,3,2,0,0,0,1,0,0,0,-1,9,1,1,1,0,1,1,0,0
slow,114,520000000,blocked,3,1,3,2,0,0,0,1,0,0,0,-1,9,1,1,1,0,1,1,0,0
slow,115,540000000,offer,2,1,2,2,0,0,0,1,0,0,0,-1,3,7,1,1,0,1,1,0,0
slow,116,540000000,blocked,2,1,2,2,0,0,0,1,0,0,0,-1,3,7,1,1,0,1,1,0,0
slow,117,540000000,offer,3,1,3,2,0,0,0,1,0,0,0,-1,9,1,1,1,0,1,1,0,0
slow,118,540000000,blocked,3,1,3,2,0,0,0,1,0,0,0,-1,9,1,1,1,0,1,1,0,0
slow,119,560000000,offer,2,1,2,2,0,0,0,1,0,0,0,-1,3,7,1,1,0,1,1,0,0
slow,120,560000000,blocked,2,1,2,2,0,0,0,1,0,0,0,-1,3,7,1,1,0,1,1,0,0
slow,121,560000000,offer,3,1,3,2,0,0,0,1,0,0,0,-1,9,1,1,1,0,1,1,0,0
slow,122,560000000,blocked,3,1,3,2,0,0,0,1,0,0,0,-1,9,1,1,1,0,1,1,0,0
slow,123,580000000,offer,2,1,2,2,0,0,0,1,0,0,0,-1,3,7,1,1,0,1,1,0,0
slow,124,580000000,blocked,2,1,2,2,0,0,0,1,0,0,0,-1,3,7,1,1,0,1,1,0,0
slow,125,580000000,offer,3,1,3,2,0,0,0,1,0,0,0,-1,9,1,1,1,0,1,1,0,0
