case,node,ordinal,time_ns,min,max,draw,resolved,purpose
ok,4,18,21814000028,0,31,7,7,prepare
ok,4,19,21918000028,0,31,3,3,advertise
ok,5,63,21957000028,0,31,9,9,prepare
ok,4,20,22009000028,0,31,7,7,prepare
ok,5,64,22087000028,0,31,1,1,advertise
ok,4,21,22113000028,0,31,3,3,advertise
ok,1,170,22124961028,0,31,1,1,prepare
ok,5,65,22139000028,0,31,9,9,advertise
ok,1,171,22150961028,0,31,1,1,advertise
ok,4,22,22178000028,0,31,7,7,advertise
ok,1,172,22189961028,0,31,1,1,advertise
ok,1,173,22228961028,0,31,1,1,advertise
ok,1,174,22267961028,0,31,1,1,advertise
ok,5,66,22295000028,0,31,1,1,advertise
ok,1,175,22306961028,0,31,1,2,advertise
ok,4,23,22347000028,0,31,3,3,prepare
ok,1,176,22358961028,0,31,1,1,advertise
ok,5,67,22360000028,0,31,9,9,advertise
ok,1,177,22397961028,0,31,1,1,advertise
ok,4,24,22399000028,0,31,7,8,advertise
ok,1,178,22436961028,0,31,1,1,advertise
ok,1,179,22475961028,0,31,1,1,advertise
ok,5,68,22503000028,0,31,1,1,advertise
ok,1,180,22514961028,0,31,1,1,advertise
ok,1,181,22553961028,0,31,1,1,prepare
ok,4,25,22555000028,0,31,3,3,prepare
ok,5,69,22568000028,0,31,9,9,advertise
ok,1,182,22579961028,0,31,1,1,advertise
ok,4,26,22607000028,0,31,7,8,advertise
ok,1,183,22618961028,0,31,1,1,advertise
ok,1,184,22657961028,0,31,1,1,advertise
ok,1,185,22696961028,0,31,1,1,advertise
ok,5,70,22711000028,0,31,1,2,advertise
ok,1,186,22735961028,0,31,1,1,advertise
ok,1,187,22774961028,0,31,1,1,advertise
ok,5,71,22776000028,0,31,9,9,advertise
ok,1,188,22813961028,0,31,1,1,advertise
ok,1,189,22852961028,0,31,1,1,advertise
ok,1,190,22891961028,0,31,1,1,advertise
ok,5,72,22919000028,0,31,1,1,advertise
ok,1,191,22930961028,0,31,1,1,advertise
ok,5,73,22958000028,0,31,9,9,advertise
ok,4,27,23010000028,0,31,3,3,prepare
ok,4,28,23062000028,0,31,7,7,advertise
ok,5,74,23101000028,0,31,1,1,advertise
ok,1,192,23138961028,0,31,1,1,prepare
ok,5,75,23153000028,0,31,9,9,advertise
ok,1,193,23164961028,0,31,1,1,advertise
ok,1,194,23203961028,0,31,1,1,advertise
ok,1,195,23242961028,0,31,1,1,advertise
ok,1,196,23281961028,0,31,1,1,advertise
ok,5,76,23296000028,0,31,1,1,advertise
ok,1,197,23320961028,0,31,1,1,advertise
ok,5,77,23335000028,0,31,9,9,advertise
ok,5,78,23478000028,0,31,1,1,advertise
ok,4,29,24011000028,0,31,3,3,prepare
ok,5,79,24011000028,0,31,9,9,prepare
ok,4,30,24063000028,0,31,7,7,advertise
ok,5,80,24141000028,0,31,1,1,advertise
ok,1,198,24178961028,0,31,1,1,prepare
ok,5,81,24193000028,0,31,9,9,advertise
ok,1,199,24204961028,0,31,1,1,advertise
ok,1,200,24243961028,0,31,1,1,advertise
ok,1,201,24282961028,0,31,1,1,advertise
ok,1,202,24321961028,0,31,1,1,advertise
ok,5,82,24336000028,0,31,1,1,advertise
ok,1,203,24360961028,0,31,1,1,advertise
ok,5,83,24375000028,0,31,9,9,advertise
ok,5,84,24518000028,0,31,1,1,advertise
ok,4,31,25012000028,0,31,3,3,prepare
ok,5,85,25012000028,0,31,9,9,prepare
ok,4,32,25064000028,0,31,7,7,advertise
ok,5,86,25142000028,0,31,1,1,advertise
ok,1,204,25179961028,0,31,1,1,prepare
ok,5,87,25194000028,0,31,9,9,advertise
ok,1,205,25205961028,0,31,1,1,advertise
ok,1,206,25244961028,0,31,1,1,advertise
ok,1,207,25283961028,0,31,1,1,advertise
ok,1,208,25322961028,0,31,1,1,advertise
ok,5,88,25337000028,0,31,1,1,advertise
ok,1,209,25361961028,0,31,1,1,advertise
ok,5,89,25376000028,0,31,9,9,advertise
ok,5,90,25519000028,0,31,1,1,advertise
ok,4,33,26013000028,0,31,3,3,prepare
ok,5,91,26013000028,0,31,9,9,prepare
ok,4,34,26065000028,0,31,7,7,advertise
ok,5,92,26143000028,0,31,1,1,advertise
ok,1,210,26180961028,0,31,1,1,prepare
ok,5,93,26195000028,0,31,9,9,advertise
ok,1,211,26206961028,0,31,1,1,advertise
ok,1,212,26245961028,0,31,1,1,advertise
ok,1,213,26284961028,0,31,1,1,advertise
ok,1,214,26323961028,0,31,1,1,advertise
ok,5,94,26338000028,0,31,1,1,advertise
ok,1,215,26362961028,0,31,1,1,advertise
ok,5,95,26377000028,0,31,9,9,advertise
ok,5,96,26520000028,0,31,1,1,advertise
ok,4,35,27001000028,0,31,3,3,prepare
ok,5,97,27001000028,0,31,9,9,prepare
ok,4,36,27053000028,0,31,7,7,advertise
ok,5,98,27131000028,0,31,1,1,advertise
ok,1,216,27168961028,0,31,1,1,prepare
ok,5,99,27183000028,0,31,9,9,advertise
ok,1,217,27194961028,0,31,1,1,advertise
ok,1,218,27233961028,0,31,1,1,advertise
ok,1,219,27272961028,0,31,1,1,advertise
ok,1,220,27311961028,0,31,1,1,advertise
ok,5,100,27326000028,0,31,1,1,advertise
ok,1,221,27350961028,0,31,1,1,advertise
ok,5,101,27365000028,0,31,9,9,advertise
ok,5,102,27508000028,0,31,1,1,advertise
ok,4,37,28002000028,0,31,3,3,prepare
ok,5,103,28002000028,0,31,9,9,prepare
ok,4,38,28054000028,0,31,7,7,advertise
ok,5,104,28132000028,0,31,1,1,advertise
ok,1,222,28169961028,0,31,1,1,prepare
ok,5,105,28184000028,0,31,9,9,advertise
ok,1,223,28195961028,0,31,1,1,advertise
ok,1,224,28234961028,0,31,1,1,advertise
ok,1,225,28273961028,0,31,1,1,advertise
ok,1,226,28312961028,0,31,1,1,advertise
ok,5,106,28327000028,0,31,1,1,advertise
ok,1,227,28351961028,0,31,1,1,advertise
ok,5,107,28366000028,0,31,9,9,advertise
ok,5,108,28509000028,0,31,1,1,advertise
data,4,1,13000028,0,31,3,3,prepare
data,5,1,13000028,0,31,9,9,prepare
data,4,2,351000028,0,31,7,7,advertise
data,5,2,429000028,0,31,1,1,advertise
data,4,3,2353000028,0,31,3,3,prepare
data,4,4,2405000028,0,31,7,7,advertise
data,5,3,2431000028,0,31,9,9,prepare
data,5,4,2561000028,0,31,1,1,advertise
data,4,5,2587000028,0,31,3,3,prepare
data,1,1,2598961028,0,31,1,1,prepare
data,5,5,2600000028,0,31,9,9,advertise
data,4,6,2639000028,0,31,7,8,advertise
data,5,6,2743000028,0,31,1,2,advertise
data,4,7,2769000028,0,31,3,3,prepare
data,5,7,2795000028,0,31,9,9,advertise
data,4,8,2821000028,0,31,7,7,advertise
data,1,2,2910961028,0,31,1,1,advertise
data,5,8,2938000028,0,31,1,1,advertise
data,1,3,2949961028,0,31,1,1,advertise
data,4,9,2964000028,0,31,3,3,prepare
data,5,9,2977000028,0,31,9,9,advertise
data,1,4,2988961028,0,31,1,1,advertise
data,4,10,3016000028,0,31,7,8,advertise
data,1,5,3027961028,0,31,1,1,advertise
data,1,6,3066961028,0,31,1,1,advertise
data,1,7,3105961028,0,31,1,1,advertise
data,5,10,3120000028,0,31,1,2,advertise
data,1,8,3144961028,0,31,1,2,advertise
data,4,11,3146000028,0,31,3,3,prepare
data,5,11,3172000028,0,31,9,9,advertise
data,1,9,3196961028,0,31,1,1,advertise
data,4,12,3198000028,0,31,7,7,advertise
data,1,10,3235961028,0,31,1,1,advertise
data,1,11,3274961028,0,31,1,1,advertise
data,1,12,3313961028,0,31,1,1,advertise
data,5,12,3315000028,0,31,1,1,advertise
data,1,13,3352961028,0,31,1,1,advertise
data,4,13,3354000028,0,31,3,3,prepare
data,5,13,3367000028,0,31,9,9,advertise
data,1,14,3391961028,0,31,1,1,advertise
data,4,14,3406000028,0,31,7,8,advertise
data,1,15,3430961028,0,31,1,1,advertise
data,1,16,3469961028,0,31,1,1,advertise
data,1,17,3508961028,0,31,1,1,advertise
data,5,14,3510000028,0,31,1,2,advertise
data,1,18,3547961028,0,31,1,2,prepare
data,4,15,3549000028,0,31,3,3,prepare
data,5,15,3575000028,0,31,9,9,advertise
data,1,19,3586961028,0,31,1,1,advertise
data,4,16,3601000028,0,31,7,7,advertise
data,1,20,3625961028,0,31,1,1,advertise
data,1,21,3664961028,0,31,1,1,advertise
data,1,22,3703961028,0,31,1,1,advertise
data,5,16,3718000028,0,31,1,1,advertise
data,1,23,3742961028,0,31,1,1,advertise
data,4,17,3757000028,0,31,3,3,prepare
data,5,17,3770000028,0,31,9,9,advertise
data,1,24,3781961028,0,31,1,1,advertise
data,4,18,3809000028,0,31,7,8,advertise
data,1,25,3820961028,0,31,1,1,advertise
data,1,26,3859961028,0,31,1,1,advertise
data,1,27,3898961028,0,31,1,1,advertise
data,5,18,3913000028,0,31,1,1,advertise
data,1,28,3937961028,0,31,1,1,advertise
data,4,19,3952000028,0,31,3,3,prepare
data,5,19,3965000028,0,31,9,9,advertise
data,1,29,3976961028,0,31,1,1,advertise
data,4,20,4004000028,0,31,7,8,advertise
data,1,30,4015961028,0,31,1,1,advertise
data,1,31,4054961028,0,31,1,1,advertise
data,1,32,4093961028,0,31,1,1,advertise
data,5,20,4108000028,0,31,1,1,advertise
data,1,33,4132961028,0,31,1,1,advertise
data,4,21,4147000028,0,31,3,3,prepare
data,5,21,4160000028,0,31,9,9,advertise
data,1,34,4171961028,0,31,1,1,advertise
data,4,22,4199000028,0,31,7,8,advertise
data,1,35,4210961028,0,31,1,1,advertise
data,1,36,4249961028,0,31,1,1,advertise
data,1,37,4288961028,0,31,1,1,advertise
data,5,22,4303000028,0,31,1,2,advertise
data,1,38,4327961028,0,31,1,1,advertise
data,1,39,4366961028,0,31,1,1,advertise
data,5,23,4381000028,0,31,9,9,advertise
data,1,40,4405961028,0,31,1,1,advertise
data,1,41,4444961028,0,31,1,1,advertise
data,1,42,4483961028,0,31,1,1,advertise
data,1,43,4522961028,0,31,1,1,advertise
data,5,24,4524000028,0,31,1,1,advertise
data,1,44,4574961028,0,31,1,1,prepare
data,5,25,4589000028,0,31,9,9,advertise
data,1,45,4600961028,0,31,1,1,advertise
data,1,46,4639961028,0,31,1,1,advertise
data,1,47,4678961028,0,31,1,1,advertise
data,1,48,4717961028,0,31,1,1,advertise
data,5,26,4732000028,0,31,1,1,advertise
data,1,49,4756961028,0,31,1,1,advertise
data,1,50,4795961028,0,31,1,1,advertise
data,1,51,4834961028,0,31,1,1,advertise
data,1,52,4873961028,0,31,1,1,advertise
data,1,53,4912961028,0,31,1,1,advertise
data,1,54,4951961028,0,31,1,1,advertise
data,5,27,5005000028,0,31,9,9,prepare
data,5,28,5135000028,0,31,1,1,advertise
data,1,55,5159961028,0,31,1,1,prepare
data,1,56,5185961028,0,31,1,1,advertise
data,1,57,5224961028,0,31,1,1,advertise
data,1,58,5263961028,0,31,1,1,advertise
data,1,59,5302961028,0,31,1,1,advertise
data,1,60,5341961028,0,31,1,1,advertise
data,5,29,6006000028,0,31,9,9,prepare
data,5,30,6136000028,0,31,1,1,advertise
data,1,61,6160961028,0,31,1,1,prepare
data,1,62,6186961028,0,31,1,1,advertise
data,1,63,6225961028,0,31,1,1,advertise
data,1,64,6264961028,0,31,1,1,advertise
data,1,65,6303961028,0,31,1,1,advertise
data,1,66,6342961028,0,31,1,1,advertise
data,5,31,7007000028,0,31,9,9,prepare
data,5,32,7137000028,0,31,1,1,advertise
data,1,67,7161961028,0,31,1,1,prepare
data,1,68,7187961028,0,31,1,1,advertise
data,1,69,7226961028,0,31,1,1,advertise
data,1,70,7265961028,0,31,1,1,advertise
data,1,71,7304961028,0,31,1,1,advertise
data,1,72,7343961028,0,31,1,1,advertise
data,5,33,8008000028,0,31,9,9,prepare
data,5,34,8138000028,0,31,1,1,advertise
data,1,73,8162961028,0,31,1,1,prepare
data,1,74,8188961028,0,31,1,1,advertise
data,1,75,8227961028,0,31,1,1,advertise
data,1,76,8266961028,0,31,1,1,advertise
data,1,77,8305961028,0,31,1,1,advertise
data,1,78,8344961028,0,31,1,1,advertise
data,5,35,9009000028,0,31,9,9,prepare
data,5,36,9139000028,0,31,1,1,advertise
data,1,79,9163961028,0,31,1,1,prepare
data,1,80,9189961028,0,31,1,1,advertise
data,1,81,9228961028,0,31,1,1,advertise
data,1,82,9267961028,0,31,1,1,advertise
data,1,83,9306961028,0,31,1,1,advertise
data,1,84,9345961028,0,31,1,1,advertise
data,5,37,10010000028,0,31,9,9,prepare
data,5,38,10140000028,0,31,1,1,advertise
data,1,85,10164961028,0,31,1,1,prepare
data,1,86,10190961028,0,31,1,1,advertise
data,1,87,10229961028,0,31,1,1,advertise
data,1,88,10268961028,0,31,1,1,advertise
data,1,89,10307961028,0,31,1,1,advertise
data,1,90,10346961028,0,31,1,1,advertise
data,5,39,11011000028,0,31,9,9,prepare
data,5,40,11141000028,0,31,1,1,advertise
data,1,91,11165961028,0,31,1,1,prepare
data,1,92,11191961028,0,31,1,1,advertise
data,1,93,11230961028,0,31,1,1,advertise
data,1,94,11269961028,0,31,1,1,advertise
data,1,95,11308961028,0,31,1,1,advertise
data,1,96,11347961028,0,31,1,1,advertise
data,5,41,12012000028,0,31,9,9,prepare
data,5,42,12142000028,0,31,1,1,advertise
data,1,97,12166961028,0,31,1,1,prepare
data,1,98,12192961028,0,31,1,1,advertise
data,1,99,12231961028,0,31,1,1,advertise
data,1,100,12270961028,0,31,1,1,advertise
data,1,101,12309961028,0,31,1,1,advertise
data,1,102,12348961028,0,31,1,1,advertise
data,5,43,13013000028,0,31,9,9,prepare
data,5,44,13143000028,0,31,1,1,advertise
data,1,103,13167961028,0,31,1,1,prepare
data,1,104,13193961028,0,31,1,1,advertise
data,1,105,13232961028,0,31,1,1,advertise
data,1,106,13271961028,0,31,1,1,advertise
data,1,107,13310961028,0,31,1,1,advertise
data,1,108,13349961028,0,31,1,1,advertise
data,5,45,14001000028,0,31,9,9,prepare
data,5,46,14131000028,0,31,1,1,advertise
data,1,109,14155961028,0,31,1,1,prepare
data,1,110,14181961028,0,31,1,1,advertise
data,1,111,14220961028,0,31,1,1,advertise
data,1,112,14259961028,0,31,1,1,advertise
data,1,113,14298961028,0,31,1,1,advertise
data,1,114,14337961028,0,31,1,1,advertise
data,5,47,15002000028,0,31,9,9,prepare
data,5,48,15132000028,0,31,1,1,advertise
data,1,115,15156961028,0,31,1,1,prepare
data,1,116,15182961028,0,31,1,1,advertise
data,1,117,15221961028,0,31,1,1,advertise
data,1,118,15260961028,0,31,1,1,advertise
data,1,119,15299961028,0,31,1,1,advertise
data,1,120,15338961028,0,31,1,1,advertise
data,5,49,16003000028,0,31,9,9,prepare
data,5,50,16133000028,0,31,1,1,advertise
data,1,121,16157961028,0,31,1,1,prepare
data,1,122,16183961028,0,31,1,1,advertise
data,1,123,16222961028,0,31,1,1,advertise
data,1,124,16261961028,0,31,1,1,advertise
data,1,125,16300961028,0,31,1,1,advertise
data,1,126,16339961028,0,31,1,1,advertise
data,5,51,17004000028,0,31,9,9,prepare
data,5,52,17134000028,0,31,1,1,advertise
data,1,127,17158961028,0,31,1,1,prepare
data,1,128,17184961028,0,31,1,1,advertise
data,1,129,17223961028,0,31,1,1,advertise
data,1,130,17262961028,0,31,1,1,advertise
data,1,131,17301961028,0,31,1,1,advertise
data,1,132,17340961028,0,31,1,1,advertise
data,5,53,18005000028,0,31,9,9,prepare
data,5,54,18135000028,0,31,1,1,advertise
data,1,133,18159961028,0,31,1,1,prepare
data,1,134,18185961028,0,31,1,1,advertise
data,1,135,18224961028,0,31,1,1,advertise
data,1,136,18263961028,0,31,1,1,advertise
data,1,137,18302961028,0,31,1,1,advertise
data,1,138,18341961028,0,31,1,1,advertise
data,5,55,19006000028,0,31,9,9,prepare
data,5,56,19136000028,0,31,1,1,advertise
