seed,node,peer,source,destination,sequence,hop_sequence,completion_s,reason,resend_count,capacity_released,nsdp_released,event_index,unique_delivered_by_stop,first_delivery_s,delivery_after_hop_completion
130,4,5,8,1,989,93,546.598292444,ack,0,1,1,263959,True,693.729811086,True
130,4,5,8,1,1013,96,547.378292444,ack,0,1,1,264663,True,674.658811086,True
130,4,5,8,1,1007,95,547.378292444,ack,0,1,1,264666,True,674.047811086,True
130,8,2,7,1,1710,131,547.872295346,dack,0,0,1,265213,True,1086.004811086,True
130,4,5,8,1,1019,97,549.120292444,ack,0,1,1,266245,True,676.491811086,True
130,4,5,8,1,971,90,549.120292444,ack,2,1,1,266248,True,704.688811086,True
130,8,2,7,1,1714,132,550.160295346,dack,0,0,1,267483,True,1079.400811086,True
130,8,2,7,1,1727,133,550.784295346,dack,0,0,1,268030,True,1091.243811086,True
130,4,5,8,1,1001,94,551.603292444,ack,2,1,1,268731,True,686.657811086,True
130,4,5,8,1,1043,104,552.799292444,ack,0,1,1,269699,True,706.625811086,True
130,7,8,7,1,2446,119,554.658292442,dack,0,0,1,271390,True,1341.818811086,True
130,8,2,7,1,1709,130,554.862000028,no_ack,2,1,1,271779,False,,
130,7,8,7,1,2504,120,556.127292442,dack,0,0,1,273039,True,1430.842811086,True
130,7,8,7,1,2512,121,557.856292442,dack,0,0,1,274793,True,1342.442811086,True
130,7,8,7,1,2524,122,559.897292442,dack,0,0,1,276553,True,1422.938811086,True
130,7,8,7,1,2527,123,560.703292442,dack,0,0,1,277414,True,1442.165811086,True
130,4,5,8,1,1025,102,562.614292444,ack,2,1,1,279236,True,716.973811086,True
130,8,2,7,1,1719,134,562.926295346,dack,0,0,1,279674,True,1084.184811086,True
130,7,8,7,1,2541,124,564.733292442,dack,1,0,1,281997,True,1428.450811086,True
130,4,5,8,1,1049,106,565.184000028,no_ack,2,1,1,282543,True,697.031811086,True
130,4,5,8,1,1037,105,565.730000028,no_ack,2,1,1,283159,False,,
130,7,8,7,1,2551,125,566.709292442,dack,1,0,1,284350,True,1433.208811086,True
130,7,8,7,1,2557,126,568.100292442,dack,1,0,1,285825,True,1432.727811086,True
130,4,5,7,1,958,107,568.945292444,ack,0,1,1,286799,True,697.278811086,True
130,4,5,7,1,964,108,570.882292444,ack,0,1,1,289041,True,705.377811086,True
130,4,5,7,1,976,110,571.831292444,ack,0,1,1,289997,True,708.016811086,True
130,4,5,7,1,970,109,571.831292444,ack,0,1,1,290000,True,706.963811086,True
130,8,2,7,1,1838,138,572.078295346,dack,0,0,1,290333,True,1100.421811086,True
130,8,2,7,1,1819,136,572.078295346,dack,0,0,1,290335,True,1123.106811086,True
130,4,5,7,1,994,112,572.819292444,ack,0,1,1,291078,True,710.083811086,True
130,4,5,7,1,982,111,572.819292444,ack,0,1,1,291081,True,708.783811086,True
130,4,5,7,1,1006,113,573.664292444,ack,0,1,1,292027,True,710.863811086,True
130,4,5,7,1,988,114,574.028292444,ack,0,1,1,292379,True,711.500811086,True
130,4,5,7,1,1024,116,574.938292444,ack,0,1,1,293204,True,712.449811086,True
130,7,8,7,1,2626,127,575.081292442,dack,0,0,1,293472,True,1436.081811086,True
130,4,5,7,1,1060,118,576.082292444,ack,0,1,1,294370,True,716.336811086,True
130,4,5,7,1,1030,117,576.082292444,ack,0,1,1,294373,True,714.009811086,True
130,7,8,7,1,2639,128,576.732292442,dack,0,0,1,295023,True,1445.259811086,True
130,8,2,7,1,1818,135,577.369295346,dack,2,0,1,295692,True,1110.496811086,True
130,4,5,7,1,1066,122,578.448292444,ack,0,1,1,296836,True,717.831811086,True
130,4,5,8,1,1031,121,578.448292444,ack,0,1,1,296839,True,717.272811086,True
130,7,8,7,1,2650,129,578.656292442,dack,0,0,1,297139,True,1450.823811086,True
130,4,5,7,1,1048,123,579.735292444,ack,0,1,1,298057,True,718.455811086,True
130,8,2,7,1,1826,137,580.134000028,no_ack,2,1,1,298504,True,1102.631811086,True
130,7,8,7,1,2672,131,581.373292442,dack,0,0,1,299987,True,1447.586811086,True
130,4,5,7,1,1051,115,581.958292444,ack,2,1,1,300798,True,719.443811086,True
130,7,8,7,1,2667,130,582.361292442,dack,1,0,1,301239,False,,
130,8,2,7,1,1848,139,584.506295346,dack,0,0,1,303228,True,1102.956811086,True
130,8,2,7,1,1853,140,585.117295346,dack,0,0,1,303910,True,1111.913811086,True
130,4,5,7,1,1036,120,585.191000028,no_ack,2,1,1,304037,True,721.068811086,True
130,4,5,7,1,1000,119,586.244000028,no_ack,2,1,1,305288,False,,
130,7,8,7,1,2704,134,588.835292442,dack,0,0,1,308124,False,,
130,7,8,7,1,2696,133,589.784292442,dack,1,0,1,309423,True,1453.228811086,True
130,7,8,7,1,2686,132,590.330292442,dack,2,0,1,310193,True,1464.239811086,True
130,8,2,7,1,1858,142,593.021295346,dack,0,0,1,312537,True,1125.589811086,True
130,8,2,7,1,1862,141,593.021295346,dack,0,0,1,312539,False,,
130,4,5,8,1,1239,129,593.515292444,ack,0,1,1,313136,True,721.523811086,True
130,4,5,7,1,1012,125,593.515292444,dack,2,0,1,313139,True,751.176811086,True
130,4,5,7,1,1018,124,593.515292444,ack,2,1,1,313141,True,722.017811086,True
130,4,5,7,1,1072,126,593.799000028,no_ack,2,1,1,313458,True,726.086811086,True
130,4,5,7,1,1053,127,593.799000028,no_ack,2,1,1,313461,True,725.735811086,True
130,7,8,7,1,2755,135,595.634292442,dack,0,0,1,315057,True,1454.476811086,True
130,4,5,7,1,1042,128,597.207292444,dack,2,0,1,316683,True,736.473811086,True
130,7,8,7,1,2763,136,597.493292442,dack,0,0,1,316952,True,1455.815811086,True
