seed,node,source,destination,sequence,peer,time_s,reason,resend_count,event_index,enqueue_s,admission_s,admission_event_index,hop_admission_to_nsdp_release_completion_s,enqueue_to_nsdp_release_completion_s
129,4,7,1,3296,5,1448.887000028,no_ack,2,1105936,1132.115813632,1434.420292472,1092305,14.466707556000074,316.7711863960001
129,8,7,1,5042,2,1449.084295346,dack,1,1106178,1126.395812442,1446.048295402,1103569,3.0359999440001957,322.688482904
129,8,7,1,5134,2,1452.126295346,dack,2,1108641,1127.058812442,1447.075295402,1104383,5.050999944000068,325.0674829039999
129,4,2,1,4508,5,1452.204292444,ack,1,1108758,1148.521813632,1437.826292472,1095413,14.377999971999998,303.682478812
129,4,7,1,3367,5,1452.204292444,dack,2,1108761,1136.275813632,1436.513292472,1093970,15.690999971999872,315.92847881199987
129,8,7,1,5139,2,1453.036295346,dack,0,1109494,1138.524812442,1451.859295402,1108271,1.1769999440000447,314.5114829040001
129,4,8,1,3817,5,1453.738292444,ack,1,1110120,1156.750813632,1446.679292472,1104076,7.058999972000038,296.98747881200006
129,4,7,1,3418,5,1453.738292444,dack,1,1110123,1153.097813632,1438.593292472,1096045,15.14499997200005,300.6404788120001
129,4,7,1,3467,5,1458.275292444,dack,1,1113675,1161.222813632,1453.738292472,1110125,4.536999971999876,297.0524788119999
129,4,8,1,3810,5,1458.275292444,ack,2,1113677,1157.049813632,1452.204292472,1108763,6.070999971999981,301.2254788119999
129,4,2,1,4622,5,1460.498292444,ack,0,1115215,1178.590813632,1459.3992925,1114421,1.0989999440000702,281.90747881200014
129,4,2,1,4621,5,1460.979292444,ack,1,1115679,1172.935813632,1458.275292472,1113680,2.7039999720000196,288.0434788120001
129,4,8,1,3872,5,1463.878292444,ack,0,1118356,1180.254813632,1460.979292472,1115682,2.898999971999956,283.62347881200003
129,4,7,1,3495,5,1464.879292444,dack,0,1119498,1187.079813632,1462.9482925,1117506,1.9309999439999501,277.79947881199996
129,4,7,1,3490,5,1464.879292444,dack,1,1119500,1180.007813632,1460.498292472,1115218,4.380999971999927,284.87147881199985
129,4,2,1,4665,5,1468.766292444,ack,0,1122697,1201.093813632,1467.8232925,1122020,0.9429999440001211,267.672478812
129,8,8,1,5746,2,1469.715295346,dack,0,1123598,1142.52,1469.084295402,1122914,0.6309999439999956,327.19529534599997
129,4,7,1,3564,5,1470.352292444,dack,0,1124163,1201.756813632,1468.766292472,1122701,1.5859999720000815,268.595478812
129,8,7,1,5158,2,1473.862295346,dack,0,1126726,1147.065812442,1473.036295402,1126015,0.8259999440001593,326.7964829040002
129,4,7,1,3538,5,1475.054000028,no_ack,2,1127925,1196.049813632,1463.878292472,1118359,11.175707555999907,279.004186396
129,4,8,1,3959,5,1480.713292444,ack,2,1131994,1208.620813632,1473.7382925,1126605,6.9749999440000465,272.0924788120001
129,8,7,1,5251,2,1490.528295346,dack,0,1141598,1147.650812442,1489.715295402,1140834,0.812999944000012,342.8774829040001
129,4,8,1,3993,5,1492.738292444,ack,1,1143755,1219.527813632,1480.713292472,1131997,12.02499997200016,273.210478812
129,4,7,1,3579,5,1494.233292444,dack,0,1145268,1226.820813632,1484.8792925,1135616,9.353999943999952,267.412478812
129,8,8,1,5846,2,1494.662295346,dack,0,1145712,1163.62,1493.862295402,1144747,0.799999944000092,331.0422953460002
129,8,7,1,5256,2,1494.662295346,dack,1,1145714,1159.194812442,1492.126295402,1142973,2.5359999439999683,335.467482904
129,4,7,1,3602,5,1496.010000028,no_ack,2,1147274,1216.927813632,1478.2752925,1130174,17.734707527999944,279.082186396
129,4,7,1,3607,5,1496.716292444,dack,0,1147840,1227.301813632,1484.8792925,1135623,11.8369999439999,269.41447881199997
129,4,2,1,4769,5,1500.278292444,ack,0,1151008,1237.688813632,1492.2042925,1143109,8.07399994399998,262.58947881200015
129,4,8,1,4068,5,1500.707292444,ack,0,1151376,1253.392813632,1500.278292472,1151011,0.4289999719999287,247.31447881199983
129,4,7,1,3706,5,1504.503292444,dack,1,1153918,1258.410813632,1500.707292472,1151379,3.7959999719998905,246.09247881199985
129,4,7,1,3670,5,1505.231292444,dack,2,1154751,1232.072813632,1490.3522925,1141365,14.878999944000043,273.1584788120001
129,4,7,1,3684,5,1509.569000028,no_ack,2,1158441,1242.511813632,1492.738292472,1143758,16.83070755599988,267.0571863959999
129,8,8,1,5852,2,1511.614295346,dack,0,1160246,1164.7,1510.528295402,1159392,1.0859999440001502,346.914295346
129,4,8,1,4096,5,1518.062292444,ack,0,1166328,1269.863813632,1516.7162925,1165113,1.3459999439999137,248.19847881199985
129,4,7,1,3726,5,1518.062292444,dack,0,1166331,1263.428813632,1514.2332925,1162384,3.828999943999861,254.63347881200002
129,8,7,1,5292,2,1518.335295346,dack,1,1166702,1168.190812442,1514.662295402,1162913,3.6729999440001393,350.14448290400014
129,4,8,1,4112,5,1519.024292444,dack,0,1167304,1270.539813632,1518.062292472,1166333,0.9619999719998304,248.4844788119999
129,8,7,1,5367,2,1522.222295346,dack,2,1170131,1168.905812442,1514.662295402,1162920,7.559999944000083,353.31648290399994
129,4,8,1,4115,5,1529.840292444,dack,2,1175928,1274.270813632,1524.5032925,1171963,5.336999943999899,255.56947881199994
129,8,7,1,5371,2,1532.414295346,dack,0,1178064,1179.760812442,1531.614295402,1177245,0.799999944000092,352.65348290399993
129,8,8,1,5948,2,1539.369295346,dack,0,1184007,1184.84,1538.335295402,1183123,1.0339999440000156,354.529295346
129,4,7,1,3801,5,1543.334292444,dack,1,1187190,1284.306813632,1539.0242925,1183653,4.309999944000083,259.027478812
129,4,7,1,3733,5,1551.407292444,ack,2,1194163,1279.353813632,1538.0622925,1182845,13.344999943999937,272.05347881199987
129,8,7,1,5405,2,1552.928295346,dack,0,1195378,1188.977812442,1552.414295402,1194852,0.5139999439998064,363.95048290399995
129,4,7,1,3843,5,1555.242292444,ack,1,1197123,1291.469813632,1551.407292472,1194166,3.8349999719998777,263.7724788119999
129,8,7,1,5465,2,1560.130295346,dack,0,1200432,1189.302812442,1559.369295402,1199802,0.7609999439998774,370.8274829039999
129,4,7,1,3782,5,1560.412000028,no_ack,2,1200746,1290.780813632,1545.2312925,1188947,15.180707527999857,269.631186396
129,8,8,1,5980,2,1562.847295346,dack,0,1202825,1191.44,1562.222295402,1202173,0.6249999439999101,371.40729534599996
129,4,8,1,4192,5,1564.936000028,no_ack,2,1205273,1295.577813632,1555.242292472,1197126,9.693707556000163,269.35818639600006
129,4,2,1,5074,5,1565.928292444,ack,0,1205925,1305.652813632,1563.3342925,1203389,2.593999943999961,260.27547881199985
129,4,7,1,3901,5,1574.092292444,ack,2,1212885,1313.790813632,1565.928292472,1205928,8.163999971999829,260.3014788119999
129,8,7,1,5469,2,1575.639295346,dack,1,1214154,1200.703812442,1572.928295402,1211928,2.710999943999923,374.93548290399985
129,4,4,1,6642,5,1577.186292444,ack,1,1215662,1332.16,1574.092292472,1212888,3.0939999719998923,245.02629244399986
129,4,2,1,5115,5,1577.186292444,ack,2,1215665,1328.753813632,1569.8402925,1209122,7.345999943999914,248.432478812
129,8,8,1,6048,2,1580.865295346,ack,0,1218453,1205.6,1580.130295402,1217733,0.7349999440000374,375.26529534600013
129,8,8,1,6068,2,1581.502295346,ack,0,1219135,1210.0,1580.865295374,1218456,0.6369999720000123,371.502295346
129,8,7,1,5511,2,1582.100295346,dack,0,1219744,1210.258812442,1581.502295374,1219138,0.5979999720000251,371.84148290400003
129,4,4,1,6648,5,1582.919292444,ack,2,1220483,1333.1,1577.186292472,1215668,5.732999971999789,249.81929244399998
129,8,7,1,5565,2,1583.855295346,dack,0,1221432,1212.962812442,1582.847295402,1220332,1.0079999439999483,370.89248290399996
