seed,node,source,start_s,end_s,mean_nsdp,nsdp_at_least16_seconds
129,4,8,1500,1800,12.426106002026664,17.188478811999857
129,4,8,1800,2100,10.504718814666667,0.0
129,4,8,2100,2400,10.715604490839999,0.0
129,4,8,2400,2700,9.653866637840004,0.0
129,4,8,2700,3000,13.673019703906666,82.0795804559998
129,4,8,3000,3300,11.093332612573333,0.0
129,4,8,3300,3600,7.34068644074667,0.0
129,4,8,3600,3900,10.101582016639997,50.88418636799997
129,4,8,3900,4200,14.047556567853325,115.8979576519996
129,4,8,4200,4500,14.522467795533332,92.47105924000061
129,4,8,4500,4800,15.759344391493336,177.72078811999927
129,4,8,4800,5100,19.753185648533336,295.68895762400007
129,4,8,5100,5400,17.3680798866,258.67928803999985
129,4,8,5400,5700,19.21975056204,262.74762283200016
129,4,8,5700,6000,24.522428744679992,300.0
129,8,7,300,600,18.285035218420006,254.62811917400006
129,8,7,600,900,26.351154197186666,300.0
129,8,7,900,1200,29.175242304533338,300.0
129,8,7,1200,1500,40.370109146726676,300.0
129,8,7,1500,1800,51.83724302293333,300.0
129,8,7,1800,2100,41.277893627546675,300.0
129,8,7,2100,2400,34.56501548245333,300.0
129,8,7,2400,2700,33.493996642839996,300.0
129,8,7,2700,3000,36.47443266364001,300.0
129,8,7,3000,3300,39.001186798066655,300.0
129,8,7,3300,3600,43.62293521664667,300.0
129,8,7,3600,3900,26.90029423244001,300.0
129,8,7,3900,4200,20.51747143402001,300.0
129,8,7,4200,4500,18.507038231753345,295.1194487120001
129,8,7,4500,4800,19.924302549573344,299.70348290400034
129,8,7,4800,5100,21.932571944960007,300.0
129,8,7,5100,5400,26.535893630940002,300.0
129,8,7,5400,5700,17.374468532513326,247.23870986600014
129,8,7,5700,6000,16.416323630659996,234.5218974240015
129,8,8,300,600,15.98924929403333,298.9721300959996
129,8,8,600,900,15.998616426006665,299.631041764
129,8,8,900,1200,15.99881362768,299.66079295799966
129,8,8,1200,1500,15.99961279832666,299.88383949800004
129,8,8,1500,1800,15.999487116146671,299.8558394980007
129,8,8,1800,2100,15.999298100726664,299.789430218
129,8,8,2100,2400,15.999150674406664,299.75290697599985
129,8,8,2400,2700,15.999306736273335,299.792020882001
129,8,8,2700,3000,15.999446736273331,299.83402088199955
129,8,8,3000,3300,15.999314767393335,299.79913487199974
129,8,8,3300,3600,15.999171054093335,299.77002088200015
129,8,8,3600,3900,15.998999914566665,299.719679024
129,8,8,3900,4200,15.998890899146666,299.67797439800006
129,8,8,4200,4500,15.998779759433335,299.6476324840005
129,8,8,4500,4800,15.998436805973334,299.56945110000106
129,8,8,4800,5100,15.998764232293333,299.6349743419996
129,8,8,5100,5400,15.99897264328667,299.71220229400114
129,8,8,5400,5700,15.998796805879998,299.65915572599897
129,8,8,5700,6000,15.998731503573339,299.63186038000185
129,4,shared_NWK_queue,300,600,58.84128135594667,298.475726368
129,4,shared_NWK_queue,600,900,109.76245995335996,300.0
129,4,shared_NWK_queue,900,1200,113.82118010235995,300.0
129,4,shared_NWK_queue,1200,1500,89.27131453025333,300.0
129,4,shared_NWK_queue,1500,1800,63.359680239573294,300.0
129,4,shared_NWK_queue,1800,2100,81.54732483953329,300.0
129,4,shared_NWK_queue,2100,2400,84.41354483149333,300.0
129,4,shared_NWK_queue,2400,2700,62.01038096917337,300.0
129,4,shared_NWK_queue,2700,3000,73.93674936896,300.0
129,4,shared_NWK_queue,3000,3300,67.05384275548,300.0
129,4,shared_NWK_queue,3300,3600,54.543423560053334,300.0
129,4,shared_NWK_queue,3600,3900,66.42638765547991,300.0
129,4,shared_NWK_queue,3900,4200,71.72151075016009,300.0
129,4,shared_NWK_queue,4200,4500,63.647321777266676,300.0
129,4,shared_NWK_queue,4500,4800,64.34512893285336,300.0
129,4,shared_NWK_queue,4800,5100,75.24747152189342,300.0
129,4,shared_NWK_queue,5100,5400,68.8700996090801,300.0
129,4,shared_NWK_queue,5400,5700,87.97918295215999,300.0
129,4,shared_NWK_queue,5700,6000,90.06051100138676,300.0
129,8,shared_NWK_queue,300,600,32.733653169280004,297.751482932
129,8,shared_NWK_queue,600,900,41.60104730749999,300.0
129,8,shared_NWK_queue,900,1200,44.661932231233344,300.0
129,8,shared_NWK_queue,1200,1500,56.07490960358003,300.0
129,8,shared_NWK_queue,1500,1800,67.49090779854004,300.0
129,8,shared_NWK_queue,1800,2100,56.82535370667334,300.0
129,8,shared_NWK_queue,2100,2400,50.134918136846686,300.0
129,8,shared_NWK_queue,2400,2700,49.11526869000667,300.0
129,8,shared_NWK_queue,2700,3000,52.109483726506674,300.0
129,8,shared_NWK_queue,3000,3300,54.61983550938002,300.0
129,8,shared_NWK_queue,3300,3600,59.17046726465333,300.0
129,8,shared_NWK_queue,3600,3900,42.32064908026665,300.0
129,8,shared_NWK_queue,3900,4200,35.95554393094666,300.0
129,8,shared_NWK_queue,4200,4500,33.80395663840001,300.0
129,8,shared_NWK_queue,4500,4800,35.31077270166671,300.0
129,8,shared_NWK_queue,4800,5100,37.52292482521334,300.0
129,8,shared_NWK_queue,5100,5400,42.00510257054001,300.0
129,8,shared_NWK_queue,5400,5700,32.93392769955999,300.0
129,8,shared_NWK_queue,5700,6000,32.03440848007332,300.0
