seed,node,peer,source,destination,sequence,hop_sequence,admission_s,admission_event_index,threshold_at_admission,release_s,release_reason,release_event,capacity_retention_s
130,4,5,8,1,2165,283,997.009292472,746228,9,1020.496000028,no_ack,hop_completion,23.486707556000056
130,7,8,7,1,4873,266,975.630292498,723534,6,1021.12329247,dack_expiry,hop_capacity_release,45.49299997200001
130,7,8,7,1,4991,274,1002.137292498,751941,6,1022.63829247,dack_expiry,hop_capacity_release,20.500999972000045
130,4,5,8,1,2183,287,1013.116292472,763860,7,1023.620292444,ack,hop_completion,10.503999971999974
130,7,8,7,1,4984,273,1001.324292498,751221,6,1024.30229247,dack_expiry,hop_capacity_release,22.977999972000134
130,7,8,7,1,5018,275,1006.336292498,756862,6,1027.63029247,dack_expiry,hop_capacity_release,21.29399997200005
130,4,5,8,1,2203,288,1014.260292472,765414,7,1028.049000028,no_ack,hop_completion,13.788707555999963
130,4,5,7,1,1858,282,996.138292472,745312,9,1030.321292472,dack_expiry,hop_capacity_release,34.183000000000106
130,8,2,7,1,3677,281,1009.872295402,760355,5,1031.023295374,dack_expiry,hop_capacity_release,21.150999972000136
130,8,2,7,1,3567,275,985.081295402,732894,6,1031.705295374,dack_expiry,hop_capacity_release,46.623999971999865
130,8,2,7,1,3708,283,1012.706295402,763353,5,1033.883295374,dack_expiry,hop_capacity_release,21.176999971999976
130,8,2,7,1,3692,282,1012.706295402,763346,5,1033.883295374,dack_expiry,hop_capacity_release,21.176999971999976
130,7,8,7,1,5038,276,1013.525292498,764297,6,1034.39029247,dack_expiry,hop_capacity_release,20.864999972000078
130,7,8,7,1,5053,277,1015.189292498,766496,6,1035.70329247,dack_expiry,hop_capacity_release,20.513999971999965
130,4,5,7,1,1727,265,985.751292472,733499,6,1037.009292472,dack_expiry,hop_capacity_release,51.257999999999925
130,7,8,7,1,5055,278,1019.752292498,770474,6,1040.82529247,dack_expiry,hop_capacity_release,21.072999972000048
130,7,8,7,1,5084,279,1021.123292498,772141,6,1041.82629247,dack_expiry,hop_capacity_release,20.702999972000043
130,4,5,7,1,1819,271,989.170292472,737007,6,1043.366292472,dack_expiry,hop_capacity_release,54.19599999999991
130,7,8,7,1,5113,280,1022.638292498,773688,6,1043.47729247,dack_expiry,hop_capacity_release,20.83899997200001
130,7,8,7,1,5121,281,1024.302292498,775262,6,1044.68629247,dack_expiry,hop_capacity_release,20.383999971999856
130,8,2,7,1,3660,280,994.948295402,743803,6,1047.305295374,dack_expiry,hop_capacity_release,52.35699997200004
130,7,8,7,1,5159,282,1027.630292498,778546,6,1048.26129247,dack_expiry,hop_capacity_release,20.630999971999927
130,8,2,7,1,3758,285,1031.023295402,782722,5,1051.667295374,dack_expiry,hop_capacity_release,20.643999972000074
130,8,2,7,1,3783,288,1033.883295402,786055,5,1054.982295374,dack_expiry,hop_capacity_release,21.098999972
130,8,2,7,1,3767,286,1031.705295402,783588,5,1054.982295374,dack_expiry,hop_capacity_release,23.276999971999885
130,4,5,7,1,1967,293,1032.941292472,784953,3,1055.242292472,dack_expiry,hop_capacity_release,22.30099999999993
130,7,8,7,1,5170,283,1034.390292498,786587,6,1055.78829247,dack_expiry,hop_capacity_release,21.39799997199998
130,7,8,7,1,5175,284,1035.703292498,788059,6,1056.41229247,dack_expiry,hop_capacity_release,20.7089999719999
130,4,5,7,1,1971,294,1035.905292472,788317,3,1058.648292472,dack_expiry,hop_capacity_release,22.743000000000166
130,8,2,7,1,3789,287,1033.883295402,786048,5,1058.778295374,dack_expiry,hop_capacity_release,24.89499997200005
130,7,8,7,1,5198,285,1040.825292498,793424,6,1061.78129247,dack_expiry,hop_capacity_release,20.955999971999972
130,7,8,7,1,5241,286,1041.826292498,794770,6,1062.50929247,dack_expiry,hop_capacity_release,20.68299997200006
130,7,8,7,1,5250,287,1043.477292498,796675,6,1064.16029247,dack_expiry,hop_capacity_release,20.68299997200006
130,7,8,7,1,5279,288,1044.686292498,797873,6,1065.46029247,dack_expiry,hop_capacity_release,20.773999971999956
130,8,2,7,1,3719,284,1014.948295402,766071,5,1067.130295374,dack_expiry,hop_capacity_release,52.181999972000085
130,4,5,7,1,1993,296,1043.3662925,796550,3,1068.047292472,dack_expiry,hop_capacity_release,24.68099997199988
