seed,node,source,destination,app_sequence,origin,ingress_peer,enqueue_event,identity_ordinal,same_app_nsdp_owners_before_enqueue,same_app_waiting_before_enqueue,forward_event,hop_admission_event,next_hop,hop_sequence,nsdp_release_event,completion_event,completion_reason,completion_resend_count,capacity_release_event,receiver_feedback_event,receiver_feedback_reason,ingress_hop_sequence,ingress_previous_feedback_event,ingress_previous_feedback_reason,ingress_same_hop_replay,enqueue_s,forward_s,hop_admission_s,completion_s,capacity_release_s,app_unique_delivered_by_stop,app_destination_delivery_events,app_first_delivery_event,app_first_delivery_s,status_at_stop
130,8,8,1,965,local,,24342,1,0,0,42948,42950,2,15,45047,45048,ack,1,45048,,,,,,,300.02,319.384295374,319.384295374,322.348295346,322.348295346,True,1,376072,650.530811086,released
130,2,2,1,966,local,,24354,1,0,0,27934,27936,4,16,28467,28468,ack,0,28468,,,,,,,300.04,303.26429366,303.26429366,303.888293632,303.888293632,False,0,,,released
130,3,3,1,967,local,,24358,1,0,0,27477,27479,1,19,29026,29027,ack,0,29027,,,,,,,300.04,302.900288105,302.900288105,304.554108077,304.554108077,True,1,28411,303.833808077,released
130,4,4,1,968,local,,24362,1,0,0,41249,41251,5,19,45255,45256,ack,1,45256,,,,,,,300.04,317.447292472,317.447292472,322.556292444,322.556292444,True,1,66821,347.370811086,released
130,5,5,1,969,local,,24366,1,0,0,30103,30105,1,20,36017,36018,ack,2,36018,,,,,,,300.04,305.594111114,305.594111114,311.626111086,311.626111086,True,1,35176,310.775811086,released
130,7,7,1,970,local,,24370,1,0,0,26102,26104,8,14,26806,26807,ack,0,26807,,,,,,,300.04,301.32729247,301.32729247,302.224292442,302.224292442,True,1,441535,706.963811086,released
130,8,8,1,971,local,,24374,1,0,0,45054,45056,2,16,47491,47492,ack,1,47492,,,,,,,300.04,322.348295374,322.348295374,325.286295346,325.286295346,True,1,439176,704.688811086,released
130,2,2,1,972,local,,24394,1,0,0,28474,28476,4,17,29751,29752,ack,0,29752,,,,,,,300.06,303.88829366,303.88829366,305.266293632,305.266293632,True,1,120144,405.948811086,released
130,3,3,1,973,local,,24398,1,0,0,29033,29035,1,20,30071,30072,ack,0,30072,,,,,,,300.06,304.554108105,304.554108105,305.594108077,305.594108077,True,1,29856,305.341808077,released
130,4,4,1,974,local,,24402,1,0,0,45262,45264,5,20,48179,48180,ack,1,48180,,,,,,,300.06,322.556292472,322.556292472,326.170292444,326.170292444,True,1,70020,351.504811086,released
130,5,5,1,975,local,,24406,1,0,0,36024,36026,1,21,37134,37135,ack,0,37135,,,,,,,300.06,311.626111114,311.626111114,312.848111086,312.848111086,True,1,36779,312.465811086,released
130,7,7,1,976,local,,24410,1,0,0,26813,26815,8,15,27635,27636,ack,0,27636,,,,,,,300.06,302.22429247,302.22429247,303.043292442,303.043292442,True,1,442587,708.016811086,released
130,8,8,1,977,local,,24414,1,0,0,47498,47500,2,17,49694,49695,ack,1,49695,,,,,,,300.06,325.286295374,325.286295374,328.055295346,328.055295346,True,1,418852,687.021811086,released
130,2,2,1,978,local,,24440,1,0,0,28481,28483,4,18,29748,29749,ack,0,29749,,,,,,,300.08,303.88829366,303.88829366,305.266293632,305.266293632,True,1,120593,406.455811086,released
130,3,3,1,979,local,,24444,1,0,0,29040,29042,1,21,31004,31005,ack,0,31005,,,,,,,300.08,304.554108105,304.554108105,306.569108077,306.569108077,True,1,30453,306.017808077,released
130,4,4,1,980,local,,24448,1,0,0,48186,48188,5,21,53184,53185,ack,2,53185,,,,,,,300.08,326.170292472,326.170292472,332.098292444,332.098292444,True,1,70513,352.115811086,released
130,5,5,1,981,local,,24452,1,0,0,36031,36033,1,22,37558,37559,ack,0,37559,,,,,,,300.08,311.626111114,311.626111114,313.303111086,313.303111086,True,1,37440,313.128811086,released
130,7,7,1,982,local,,24456,1,0,0,26820,26822,8,16,28617,28618,ack,0,28618,,,,,,,300.08,302.22429247,302.22429247,304.018292442,304.018292442,True,1,443189,708.783811086,released
130,8,8,1,983,local,,24460,1,0,0,49701,49703,2,18,50268,50269,ack,0,50269,,,,,,,300.08,328.055295374,328.055295374,328.770295346,328.770295346,True,1,393003,664.934811086,released
130,2,2,1,984,local,,24490,1,0,0,29758,29760,4,19,30735,30736,ack,0,30736,,,,,,,300.1,305.26629366,305.26629366,306.267293632,306.267293632,True,1,129157,415.347811086,released
130,3,3,1,985,local,,24494,1,0,0,30078,30080,1,22,31001,31002,ack,0,31002,,,,,,,300.1,305.594108105,305.594108105,306.569108077,306.569108077,True,1,30918,306.459808077,released
130,4,4,1,986,local,,24498,1,0,0,53191,53193,5,22,54067,54068,ack,0,54068,,,,,,,300.1,332.098292472,332.098292472,332.995292444,332.995292444,True,1,71395,353.337811086,released
130,5,5,1,987,local,,24502,1,0,0,37141,37143,1,23,45473,45474,ack,1,45474,,,,,,,300.1,312.848111114,312.848111114,322.676111086,322.676111086,True,1,44225,320.941811086,released
130,7,7,1,988,local,,24506,1,0,0,27642,27644,8,17,31562,31563,ack,1,31563,,,,,,,300.1,303.04329247,303.04329247,307.138292442,307.138292442,True,1,446403,711.500811086,released
130,8,8,1,989,local,,24510,1,0,0,50275,50277,2,19,50824,50825,ack,0,50825,,,,,,,300.1,328.770295374,328.770295374,329.316295346,329.316295346,True,1,427546,693.729811086,released
130,2,2,1,990,local,,24548,1,0,0,29765,29767,4,20,30732,30733,ack,0,30733,,,,,,,300.12,305.26629366,305.26629366,306.267293632,306.267293632,False,0,,,released
130,3,3,1,991,local,,24552,1,0,0,31011,31013,1,23,31627,31628,ack,0,31628,,,,,,,300.12,306.569108105,306.569108105,307.154108077,307.154108077,True,1,31492,307.044808077,released
130,4,4,1,992,local,,24556,1,0,0,54074,54076,5,23,66472,66473,no_ack,2,66473,,,,,,,300.12,332.995292472,332.995292472,346.940000028,346.940000028,False,0,,,released
130,5,5,1,993,local,,24560,1,0,0,37565,37567,1,24,39272,39273,ack,0,39273,,,,,,,300.12,313.303111114,313.303111114,315.201111086,315.201111086,True,1,38907,314.857811086,released
130,7,7,1,994,local,,24564,1,0,0,28624,28626,8,18,29188,29189,ack,0,29189,,,,,,,300.12,304.01829247,304.01829247,304.629292442,304.629292442,True,1,444629,710.083811086,released
130,8,8,1,995,local,,24568,1,0,0,50831,50833,2,20,51372,51373,ack,0,51373,,,,,,,300.12,329.316295374,329.316295374,329.979295346,329.979295346,False,0,,,released
130,2,2,1,996,local,,24610,1,0,0,30742,30744,4,21,31442,31443,ack,0,31443,,,,,,,300.14,306.26729366,306.26729366,307.034293632,307.034293632,False,0,,,released
130,3,3,1,997,local,,24614,1,0,0,31018,31020,1,24,32475,32476,ack,0,32476,,,,,,,300.14,306.569108105,306.569108105,308.051108077,308.051108077,True,1,32082,307.642808077,released
130,4,4,1,998,local,,24618,1,0,0,66478,66480,5,24,73731,73732,no_ack,2,73732,,,,,,,300.14,346.940000056,346.940000056,356.105000028,356.105000028,False,0,,,released
130,5,5,1,999,local,,24622,1,0,0,39279,39281,1,25,39953,39954,ack,0,39954,,,,,,,300.14,315.201111114,315.201111114,316.046111086,316.046111086,True,1,39767,315.884811086,released
130,7,7,1,1000,local,,24626,1,0,0,29195,29197,8,19,29540,29541,ack,0,29541,,,,,,,300.14,304.62929247,304.62929247,305.006292442,305.006292442,False,0,,,released
130,8,8,1,1001,local,,24630,1,0,0,51379,51381,2,21,51934,51935,ack,0,51935,,,,,,,300.14,329.979295374,329.979295374,330.655295346,330.655295346,True,1,418413,686.657811086,released
130,2,2,1,1002,local,,24680,1,0,0,30749,30751,4,22,32258,32259,ack,0,32259,,,,,,,300.16,306.26729366,306.26729366,307.840293632,307.840293632,False,0,,,released
130,3,3,1,1003,local,,24684,1,0,0,31025,31027,1,25,33249,33250,ack,0,33250,,,,,,,300.16,306.569108105,306.569108105,308.867288077,308.867288077,True,1,32755,308.344808077,released
130,4,4,1,1004,local,,24688,1,0,0,73737,73739,5,25,76323,76324,ack,0,76324,,,,,,,300.16,356.105000056,356.105000056,358.475292444,358.475292444,True,1,116766,402.594811086,released
130,5,5,1,1005,local,,24692,1,0,0,39286,39288,1,26,43337,43338,ack,0,43338,,,,,,,300.16,315.201111114,315.201111114,319.790111086,319.790111086,True,1,42601,318.952811086,released
130,7,7,1,1006,local,,24696,1,0,0,29202,29204,8,20,30644,30645,ack,0,30645,,,,,,,300.16,304.62929247,304.62929247,306.202292442,306.202292442,True,1,445758,710.863811086,released
130,8,8,1,1007,local,,24700,1,0,0,51386,51388,2,22,52622,52623,ack,0,52623,,,,,,,300.16,329.979295374,329.979295374,331.500295346,331.500295346,True,1,404059,674.047811086,released
130,2,2,1,1008,local,,24754,1,0,0,30756,30758,4,23,32932,32933,ack,0,32933,,,,,,,300.18,306.26729366,306.26729366,308.529293632,308.529293632,True,1,166621,453.749811086,released
130,3,3,1,1009,local,,24758,1,0,0,31634,31636,1,26,33246,33247,ack,0,33247,,,,,,,300.18,307.154108105,307.154108105,308.867288077,308.867288077,True,1,33143,308.773808077,released
130,4,4,1,1010,local,,24762,1,0,0,76330,76332,5,26,77704,77705,ack,0,77705,,,,,,,300.18,358.475292472,358.475292472,359.905292444,359.905292444,True,1,103529,387.982811086,released
130,5,5,1,1011,local,,24766,1,0,0,39960,39962,1,27,44061,44062,ack,0,44062,,,,,,,300.18,316.046111114,316.046111114,320.687111086,320.687111086,True,1,43734,320.226811086,released
130,7,7,1,1012,local,,24770,1,0,0,29547,29549,8,21,33540,33541,ack,1,33541,,,,,,,300.18,305.00629247,305.00629247,309.114292442,309.114292442,True,1,489093,751.176811086,released
130,8,8,1,1013,local,,24774,1,0,0,51941,51943,2,23,53703,53704,ack,0,53704,,,,,,,300.18,330.655295374,330.655295374,332.631295346,332.631295346,True,1,404616,674.658811086,released
130,2,2,1,1014,local,,24845,1,0,0,31449,31451,4,24,33687,33688,ack,0,33688,,,,,,,300.2,307.03429366,307.03429366,309.231293632,309.231293632,True,1,180571,468.517811086,released
130,3,3,1,1015,local,,24849,1,0,0,32482,32484,1,27,34038,34039,ack,0,34039,,,,,,,300.2,308.051108105,308.051108105,309.595288077,309.595288077,True,1,33826,309.397808077,released
130,4,4,1,1016,local,,24853,1,0,0,77711,77713,5,27,82046,82047,ack,0,82047,,,,,,,300.2,359.905292472,359.905292472,364.143292444,364.143292444,True,1,104446,389.022811086,released
130,5,5,1,1017,local,,24857,1,0,0,43344,43346,1,28,45470,45471,ack,0,45471,,,,,,,300.2,319.790111114,319.790111114,322.676111086,322.676111086,True,1,44394,321.201811086,released
130,7,7,1,1018,local,,24861,1,0,0,30651,30653,8,22,31559,31560,ack,0,31560,,,,,,,300.2,306.20229247,306.20229247,307.138292442,307.138292442,True,1,457795,722.017811086,released
130,8,8,1,1019,local,,24865,1,0,0,52629,52631,2,24,53700,53701,ack,0,53701,,,,,,,300.2,331.500295374,331.500295374,332.631295346,332.631295346,True,1,406828,676.491811086,released
130,2,2,1,1020,local,,24929,1,0,0,32265,32267,4,25,34667,34668,ack,0,34668,,,,,,,300.22,307.84029366,307.84029366,310.323293632,310.323293632,True,1,184627,472.612811086,released
130,3,3,1,1021,local,,24933,1,0,0,33256,33258,1,28,34845,34846,ack,0,34846,,,,,,,300.22,308.867288105,308.867288105,310.492288077,310.492288077,True,1,34250,309.852808077,released
130,4,4,1,1022,local,,24937,1,0,0,82053,82055,5,28,82535,82536,ack,0,82536,,,,,,,300.22,364.143292472,364.143292472,364.572292444,364.572292444,False,0,,,released
130,5,5,1,1023,local,,24941,1,0,0,44068,44070,1,29,58867,58868,ack,2,58868,,,,,,,300.22,320.687111114,320.687111114,338.094111086,338.094111086,True,1,58015,337.139811086,released
130,7,7,1,1024,local,,24945,1,0,0,31569,31571,8,23,35609,35610,ack,1,35610,,,,,,,300.22,307.13829247,307.13829247,311.233292442,311.233292442,True,1,447394,712.449811086,released
130,8,8,1,1025,local,,24949,1,0,0,53710,53712,2,25,54171,54172,ack,0,54172,,,,,,,300.22,332.631295374,332.631295374,333.008295346,333.008295346,True,1,452204,716.973811086,released
130,2,2,1,1026,local,,25019,1,0,0,32272,32274,4,26,34664,34665,ack,0,34665,,,,,,,300.24,307.84029366,307.84029366,310.323293632,310.323293632,True,1,191479,479.073811086,released
130,3,3,1,1027,local,,25023,1,0,0,33263,33265,1,29,34842,34843,ack,0,34843,,,,,,,300.24,308.867288105,308.867288105,310.492288077,310.492288077,True,1,34616,310.281808077,released
130,4,4,1,1028,local,,25027,1,0,0,82060,82062,5,29,83434,83435,ack,0,83435,,,,,,,300.24,364.143292472,364.143292472,365.534292444,365.534292444,True,1,110258,394.677811086,released
130,5,5,1,1029,local,,25031,1,0,0,44075,44077,1,30,51701,51702,ack,0,51702,,,,,,,300.24,320.687111114,320.687111114,330.385111086,330.385111086,True,1,51630,330.275811086,released
130,7,7,1,1030,local,,25035,1,0,0,31576,31578,8,24,36216,36217,ack,1,36217,,,,,,,300.24,307.13829247,307.13829247,311.740292442,311.740292442,True,1,449194,714.009811086,released
130,8,8,1,1031,local,,25039,1,0,0,53717,53719,2,26,64265,64266,ack,2,64266,,,,,,,300.24,332.631295374,332.631295374,344.149295346,344.149295346,True,1,452673,717.272811086,released
130,2,2,1,1032,local,,25115,1,0,0,32939,32941,4,27,35190,35191,ack,0,35191,,,,,,,300.26,308.52929366,308.52929366,310.778293632,310.778293632,True,1,230924,516.006811086,released
130,3,3,1,1033,local,,25119,1,0,0,33270,33272,1,30,35983,35984,ack,0,35984,,,,,,,300.26,308.867288105,308.867288105,311.626108077,311.626108077,True,1,35488,311.100808077,released
130,4,4,1,1034,local,,25123,1,0,0,82542,82544,5,30,85517,85518,ack,1,85518,,,,,,,300.26,364.572292472,364.572292472,367.783292444,367.783292444,True,1,111601,396.172811086,released
130,5,5,1,1035,local,,25127,1,0,0,45480,45482,1,31,53523,53524,ack,0,53524,,,,,,,300.26,322.676111114,322.676111114,332.504111086,332.504111086,True,1,52449,331.237811086,released
130,7,7,1,1036,local,,25131,1,0,0,31583,31585,8,25,33537,33538,ack,0,33538,,,,,,,300.26,307.13829247,307.13829247,309.114292442,309.114292442,True,1,456819,721.068811086,released
130,8,8,1,1037,local,,25135,1,0,0,53724,53726,2,27,60632,60633,ack,0,60633,,,,,,,300.26,332.631295374,332.631295374,339.911295346,339.911295346,False,0,,,released
130,2,2,1,1038,local,,25217,1,0,0,33694,33696,4,28,35810,35811,ack,0,35811,,,,,,,300.28,309.23129366,309.23129366,311.480293632,311.480293632,True,1,217380,503.578811086,released
130,3,3,1,1039,local,,25221,1,0,0,34045,34047,1,31,35980,35981,ack,0,35981,,,,,,,300.28,309.595288105,309.595288105,311.626108077,311.626108077,True,1,35784,311.451808077,released
130,4,4,1,1040,local,,25225,1,0,0,83441,83443,5,31,86370,86371,ack,1,86371,,,,,,,300.28,365.534292472,365.534292472,368.693292444,368.693292444,True,1,112203,396.770811086,released
130,5,5,1,1041,local,,25229,1,0,0,45487,45489,1,32,57652,57653,ack,0,57653,,,,,,,300.28,322.676111114,322.676111114,336.807111086,336.807111086,True,1,57545,336.697811086,released
130,7,7,1,1042,local,,25233,1,0,0,33547,33549,8,26,33930,33931,ack,0,33931,,,,,,,300.28,309.11429247,309.11429247,309.491292442,309.491292442,True,1,474318,736.473811086,released
130,8,8,1,1043,local,,25237,1,0,0,54178,54180,2,28,61651,61652,ack,0,61652,,,,,,,300.28,333.008295374,333.008295374,341.159295346,341.159295346,True,1,441280,706.625811086,released
130,2,2,1,1044,local,,25325,1,0,0,34674,34676,4,29,37797,37798,ack,1,37798,,,,,,,300.3,310.32329366,310.32329366,313.534293632,313.534293632,False,0,,,released
130,3,3,1,1045,local,,25329,1,0,0,34852,34854,1,32,37107,37108,ack,0,37108,,,,,,,300.3,310.492288105,310.492288105,312.848108077,312.848108077,True,1,36503,312.101808077,released
130,4,4,1,1046,local,,25333,1,0,0,85525,85527,5,32,86367,86368,ack,0,86368,,,,,,,300.3,367.783292472,367.783292472,368.693292444,368.693292444,True,1,113612,398.460811086,released
130,5,5,1,1047,local,,25337,1,0,0,51708,51710,1,33,59887,59888,ack,0,59888,,,,,,,300.3,330.385111114,330.385111114,339.030111086,339.030111086,True,1,59793,338.920811086,released
130,7,7,1,1048,local,,25341,1,0,0,33554,33556,8,27,38246,38247,dack,1,55105,,,,,,,300.3,309.11429247,309.11429247,313.911292442,333.91129247,True,1,453950,718.455811086,released
130,8,8,1,1049,local,,25345,1,0,0,60639,60641,2,29,61648,61649,ack,0,61649,,,,,,,300.3,339.911295374,339.911295374,341.159295346,341.159295346,True,1,431148,697.031811086,released
130,8,7,1,958,relay,7,25517,1,0,0,60646,60648,2,30,62319,62320,ack,0,62320,25519,ack,12,,,False,300.427812442,339.911295374,339.911295374,341.861295346,341.861295346,True,1,431273,697.278811086,released
130,7,7,1,1051,local,,25653,1,0,0,33937,33939,8,28,35107,35108,ack,0,35108,,,,,,,300.54,309.49129247,309.49129247,310.713292442,310.713292442,True,1,455092,719.443811086,released
130,8,7,1,964,relay,7,26038,1,0,0,61658,61660,2,31,62584,62585,ack,0,62585,26039,ack,13,,,False,301.259812442,341.159295374,341.159295374,342.199295346,342.199295346,True,1,439877,705.377811086,released
130,7,7,1,1053,local,,26129,1,0,0,35114,35116,8,29,40768,40769,dack,2,74592,,,,,,,301.34,310.71329247,310.71329247,316.940292442,356.94029247,True,1,462354,725.735811086,released
130,5,4,1,956,relay,4,26365,1,0,0,53530,53532,1,34,61168,61169,ack,0,61169,26367,ack,17,,,False,301.797272444,332.504111114,332.504111114,340.473111086,340.473111086,True,1,60533,339.778811086,released
130,8,7,1,970,relay,7,26457,1,0,0,61665,61667,2,32,63468,63469,ack,0,63469,26458,ack,14,,,False,301.909812442,341.159295374,341.159295374,343.239295346,343.239295346,True,1,441535,706.963811086,released
130,4,2,1,954,relay,2,26562,1,0,0,85532,85534,5,33,90716,90717,ack,2,90717,26564,ack,14,,,False,302.052813632,367.783292472,367.783292472,373.685292444,373.685292444,True,1,115350,400.592811086,released
130,2,2,1,1058,local,,26698,1,0,0,34681,34683,4,30,37795,37796,dack,0,54654,,,,,,,302.16,310.32329366,310.32329366,313.534293632,333.53429366,True,1,234084,518.840811086,released
130,3,3,1,1059,local,,26769,1,0,0,34859,34861,1,33,37104,37105,ack,0,37105,,,,,,,302.2,310.492288105,310.492288105,312.848108077,312.848108077,True,1,36961,312.712808077,released
130,7,7,1,1060,local,,26853,1,0,0,35616,35618,8,30,36831,36832,dack,0,53593,,,,,,,302.24,311.23329247,311.23329247,312.520292442,332.52029247,True,1,451582,716.336811086,released
130,4,4,1,1061,local,,27192,1,0,0,86377,86379,5,34,91877,91878,ack,2,91878,,,,,,,302.58,368.693292472,368.693292472,374.881292444,374.881292444,True,1,117982,403.985811086,released
130,3,3,1,1063,local,,27505,1,0,0,34866,34868,1,34,43301,43302,ack,2,43302,,,,,,,302.92,310.492288105,310.492288105,319.790108077,319.790108077,True,1,43164,319.563808077,released
130,8,7,1,976,relay,7,27553,1,0,0,62326,62328,2,33,63465,63466,ack,0,63466,27554,ack,15,,,False,302.975812442,341.861295374,341.861295374,343.239295346,343.239295346,True,1,442587,708.016811086,released
130,4,2,1,960,relay,2,27663,1,0,0,86384,86386,5,35,92513,92514,ack,2,92514,27664,ack,15,,,False,303.053813632,368.693292472,368.693292472,375.388292444,375.388292444,True,1,118541,404.544811086,released
130,7,7,1,1066,local,,27695,1,0,0,35623,35625,8,31,38244,38245,dack,0,55104,,,,,,,303.06,311.23329247,311.23329247,313.911292442,333.91129247,True,1,453319,717.831811086,released
130,2,2,1,1067,local,,27962,1,0,0,34688,34690,4,31,41596,41597,dack,2,75736,,,,,,,303.28,310.32329366,310.32329366,317.837293632,357.83729366,True,1,274920,558.035811086,released
130,8,7,1,982,relay,7,28125,1,0,0,62333,62335,2,34,63462,63463,ack,0,63463,28126,ack,16,,,False,303.469812442,341.861295374,341.861295374,343.239295346,343.239295346,True,1,443189,708.783811086,released
130,4,2,1,966,relay,2,28349,1,0,0,90723,90725,5,36,98755,98756,no_ack,2,98756,28350,ack,16,,,False,303.781813632,373.685292472,373.685292472,382.924000028,382.924000028,False,0,,,released
130,2,2,1,1071,local,,28502,1,0,0,35197,35199,4,32,37793,37794,dack,0,54653,,,,,,,303.9,310.77829366,310.77829366,313.534293632,333.53429366,True,1,209852,496.090811086,released
130,7,7,1,1072,local,,28650,1,0,0,36223,36225,8,32,40110,40111,dack,1,57143,,,,,,,304.02,311.74029247,311.74029247,316.160292442,336.16029247,True,1,462573,726.086811086,released
130,8,7,1,994,relay,7,28942,1,0,0,62591,62593,2,35,64262,64263,ack,0,64263,28943,ack,18,,,False,304.496812442,342.199295374,342.199295374,344.149295346,344.149295346,True,1,444629,710.083811086,released
130,4,2,1,972,relay,2,28996,1,0,0,91884,91886,5,37,93908,93909,ack,0,93909,28997,ack,17,,,False,304.548813632,374.881292472,374.881292472,377.065292444,377.065292444,True,1,120144,405.948811086,released
130,3,3,1,1076,local,,29089,1,0,0,35990,35992,1,35,38038,38039,ack,0,38039,,,,,,,304.56,311.626108105,311.626108105,313.758108077,313.758108077,True,1,37886,313.583808077,released
130,5,5,1,1077,local,,29094,1,0,0,57659,57661,1,35,61165,61166,ack,0,61166,,,,,,,304.56,336.807111114,336.807111114,340.473111086,340.473111086,True,1,60802,340.051811086,released
130,7,7,1,1078,local,,29227,1,0,0,53597,53599,8,33,54719,54720,dack,0,71635,,,,,,,304.64,332.520292498,332.520292498,333.567292442,353.56729247,False,0,,,released
130,8,7,1,1000,relay,7,29424,1,0,0,63475,63477,2,36,64999,65000,ack,0,65000,29425,ack,19,,,False,304.899812442,343.239295374,343.239295374,345.150295346,345.150295346,False,0,,,released
130,4,2,1,978,relay,2,29486,1,0,0,92520,92522,5,38,93905,93906,ack,0,93906,29487,ack,18,,,False,304.951813632,375.388292472,375.388292472,377.065292444,377.065292444,True,1,120593,406.455811086,released
130,7,7,1,1081,local,,29575,1,0,0,55109,55111,8,34,58942,58943,dack,1,75975,,,,,,,305.02,333.911292498,333.911292498,338.117292442,358.11729247,True,1,532642,794.492811086,released
130,2,2,1,1083,local,,29787,1,0,0,35817,35819,4,33,37791,37792,dack,0,54652,,,,,,,305.28,311.48029366,311.48029366,313.534293632,333.53429366,True,1,210740,497.052811086,released
130,2,2,1,1084,local,,29811,1,0,0,35824,35826,4,34,39136,39137,dack,0,56211,,,,,,,305.3,311.48029366,311.48029366,315.081293632,335.08129366,False,0,,,released
130,8,7,1,1006,relay,7,29867,1,0,0,63482,63484,2,37,64996,64997,ack,0,64997,29868,ack,20,,,False,305.354812442,343.239295374,343.239295374,345.150295346,345.150295346,True,1,445758,710.863811086,released
130,3,3,1,1087,local,,30127,1,0,0,35997,35999,1,36,39032,39033,ack,0,39033,,,,,,,305.6,311.626108105,311.626108105,315.019108077,315.019108077,True,1,38561,314.272808077,released
130,5,5,1,1088,local,,30132,1,0,0,57666,57668,1,36,61897,61898,ack,0,61898,,,,,,,305.6,336.807111114,336.807111114,341.331111086,341.331111086,True,1,61458,340.870811086,released
130,4,2,1,984,relay,2,30198,1,0,0,93915,93917,5,39,105725,105726,ack,2,105726,30199,ack,19,,,False,305.653813632,377.065292472,377.065292472,390.273292444,390.273292444,True,1,129157,415.347811086,released
130,4,2,1,990,relay,2,30457,1,0,0,93922,93924,5,40,109222,109223,no_ack,2,109223,30458,ack,20,,,False,306.017813632,377.065292472,377.065292472,393.584000028,393.584000028,False,0,,,released
130,7,7,1,1092,local,,30691,1,0,0,55116,55118,8,35,58940,58941,dack,1,75974,,,,,,,306.22,333.911292498,333.911292498,338.117292442,358.11729247,True,1,525839,787.459811086,released
130,2,2,1,1093,local,,30775,1,0,0,37804,37806,4,35,41594,41595,dack,1,58599,,,,,,,306.28,313.53429366,313.53429366,317.837293632,337.83729366,True,1,235242,520.010811086,released
130,2,2,1,1094,local,,30805,1,0,0,54658,54660,4,36,56383,56384,dack,0,73103,,,,,,,306.3,333.534293688,333.534293688,335.309293632,355.30929366,True,1,334227,612.739811086,released
130,3,3,1,1096,local,,31049,1,0,0,36004,36006,1,37,39029,39030,ack,0,39030,,,,,,,306.58,311.626108105,311.626108105,315.019108077,315.019108077,True,1,38741,314.532808077,released
130,3,3,1,1097,local,,31072,1,0,0,37114,37116,1,38,39927,39928,ack,0,39928,,,,,,,306.6,312.848108105,312.848108105,316.046108077,316.046108077,True,1,39506,315.494808077,released
130,8,7,1,988,relay,7,31096,1,0,0,63489,63491,2,38,65417,65418,ack,0,65418,31097,ack,17,,,False,306.615812442,343.239295374,343.239295374,345.657295346,345.657295346,True,1,446403,711.500811086,released
130,4,2,1,996,relay,2,31199,1,0,0,105732,105734,5,41,117913,117914,no_ack,2,117914,31200,ack,21,,,False,306.732813632,390.273292472,390.273292472,403.984000028,403.984000028,False,0,,,released
130,8,7,1,1018,relay,7,31400,1,0,0,63496,63498,2,39,66264,66265,ack,0,66265,31401,ack,22,,,False,307.018812442,343.239295374,343.239295374,346.723295346,346.723295346,True,1,457795,722.017811086,released
