case,tx_id,group_id,segment_index,group_segments,tx_time_ns,arrival_ns,sender,receiver,kind,app_source,app_id,hop_seq,ack_bits,dack_bits,decision,reason,boundary_distance_ns
ack,61,69,2,5,2145000028,2181481028,5,1,DATA,5,15,15,0,0,pass,none,-1
ack,61,69,3,5,2145000028,2181481028,5,1,DATA,5,16,16,0,0,pass,none,-1
ack,61,69,4,5,2145000028,2181481028,5,1,DATA,4,1,17,0,0,pass,none,-1
ack,61,69,5,5,2145000028,2181481028,5,1,DATA,4,2,18,0,0,pass,none,-1
ack,61,69,6,5,2145000028,2181481028,5,1,DATA,4,3,19,0,0,pass,none,-1
ack,62,70,1,1,2156961028,2179042028,1,5,ACK,0,0,14,16383,0,pass,none,-1
ack,63,71,1,1,2195961028,2218042028,1,5,ACK,0,0,19,524287,0,pass,none,-1
ack,64,72,1,1,2197000028,2219081028,5,4,ACK,0,0,21,2097120,31,pass,none,-1
ack,65,73,1,1,2234961028,2257042028,1,5,ACK,0,0,19,524287,0,pass,none,-1
ack,66,74,1,1,2273961028,2296042028,1,5,ACK,0,0,19,524287,0,pass,none,-1
ack,67,75,1,1,2312961028,2335042028,1,5,ACK,0,0,19,524287,0,pass,none,-1
ack,68,76,1,1,2340000028,2382241028,5,4,ACK,0,0,21,2097120,31,pass,none,-1
ack,68,77,2,7,2340000028,2382241028,5,1,DATA,5,17,20,0,0,pass,none,-1
ack,68,77,3,7,2340000028,2382241028,5,1,DATA,4,4,21,0,0,pass,none,-1
ack,68,77,4,7,2340000028,2382241028,5,1,DATA,4,5,22,0,0,pass,none,-1
ack,68,77,5,7,2340000028,2382241028,5,1,DATA,5,18,23,0,0,pass,none,-1
ack,68,77,6,7,2340000028,2382241028,5,1,DATA,4,6,24,0,0,pass,none,-1
ack,68,77,7,7,2340000028,2382241028,5,1,DATA,4,7,25,0,0,pass,none,-1
ack,68,77,8,7,2340000028,2382241028,5,1,DATA,5,19,26,0,0,pass,none,-1
ack,69,78,1,1,2351961028,2374042028,1,5,ACK,0,0,19,524287,0,pass,none,-1
ack,70,79,1,1,2416961028,2439042028,1,5,ACK,0,0,26,67108863,0,pass,none,-1
ack,71,80,1,1,2455961028,2478042028,1,5,ACK,0,0,26,67108863,0,pass,none,-1
ack,72,81,1,1,2494961028,2517042028,1,5,ACK,0,0,26,67108863,0,pass,none,-1
ack,73,82,1,1,2533961028,2556042028,1,5,ACK,0,0,26,67108863,0,pass,none,-1
ack,74,83,1,1,2572961028,2595042028,1,5,ACK,0,0,26,67108863,0,pass,none,-1
ack,75,84,1,9,2574000028,2619541028,5,1,DATA,4,8,27,0,0,pass,none,-1
ack,75,84,2,9,2574000028,2619541028,5,1,DATA,4,9,28,0,0,pass,none,-1
ack,75,84,3,9,2574000028,2619541028,5,1,DATA,4,10,29,0,0,pass,none,-1
ack,75,84,4,9,2574000028,2619541028,5,1,DATA,5,20,30,0,0,pass,none,-1
ack,75,84,5,9,2574000028,2619541028,5,1,DATA,5,21,31,0,0,pass,none,-1
ack,75,84,6,9,2574000028,2619541028,5,1,DATA,4,11,32,0,0,pass,none,-1
ack,75,84,7,9,2574000028,2619541028,5,1,DATA,4,12,33,0,0,pass,none,-1
ack,75,84,8,9,2574000028,2619541028,5,1,DATA,4,13,34,0,0,pass,none,-1
ack,75,84,9,9,2574000028,2619541028,5,1,DATA,4,14,35,0,0,pass,none,-1
ack,76,85,1,1,2650961028,2673042028,1,5,ACK,0,0,35,34359738367,0,pass,none,-1
ack,77,86,1,1,2689961028,2712042028,1,5,ACK,0,0,35,34359738367,0,pass,none,-1
ack,78,87,1,1,2728961028,2751042028,1,5,ACK,0,0,35,34359738367,0,pass,none,-1
ack,79,88,1,1,2767961028,2790042028,1,5,ACK,0,0,35,34359738367,0,pass,none,-1
ack,80,89,1,1,2806961028,2829042028,1,5,ACK,0,0,35,34359738367,0,pass,none,-1
ack,81,90,1,8,2808000028,2850661028,5,1,DATA,4,15,36,0,0,pass,none,-1
ack,81,90,2,8,2808000028,2850661028,5,1,DATA,4,16,37,0,0,pass,none,-1
ack,81,90,3,8,2808000028,2850661028,5,1,DATA,4,17,38,0,0,pass,none,-1
ack,81,90,4,8,2808000028,2850661028,5,1,DATA,4,18,39,0,0,pass,none,-1
ack,81,90,5,8,2808000028,2850661028,5,1,DATA,4,19,40,0,0,pass,none,-1
ack,81,90,6,8,2808000028,2850661028,5,1,DATA,4,20,41,0,0,pass,none,-1
ack,81,90,7,8,2808000028,2850661028,5,1,DATA,4,21,42,0,0,pass,none,-1
ack,81,90,8,8,2808000028,2850661028,5,1,DATA,5,22,43,0,0,pass,none,-1
