schema,stage,time_s,node_id,peer_id,frame_type,hop_sequence,decision_id,packet_uid,has_ack_window,ack_bitmap,dack_bitmap,selected_rate_key_kbps,selected_rate_bps,selected_power_dbm,advertised_rx_power_dbm,peer_known,peer_s0_dbm,path_loss_db,hop_failure_count,min_rate_key_kbps,max_rate_key_kbps,min_power_dbm,max_power_dbm,link_margin_db,incoming_rate_key_kbps,incoming_rate_bps,incoming_power_dbm,actual_rate_key_kbps,actual_rate_bps,actual_power_dbm,aggregate_id,segment_index,segment_count
csr-ns3-feedback-observation-v1,ota_segment,13.143000000000001,3,1,ACK,1,2,9,0,0,0,128,133333.33333333334,33,-103,1,-103,123.16724984190499,0,8,128,-36,33,12,,,,128,133333.33333333334,33,12884901894,1,6
csr-ns3-feedback-observation-v1,ota_segment,13.143000000000001,3,1,ACK,3,10,45,0,0,0,128,133333.33333333334,33,-103,1,-103,123.16724984190499,0,8,128,-36,33,12,,,,128,133333.33333333334,33,12884901894,2,6
csr-ns3-feedback-observation-v1,ota_segment,13.143000000000001,3,1,ACK,4,17,74,0,0,0,128,133333.33333333334,33,-103,1,-103,123.16724984190499,0,8,128,-36,33,12,,,,128,133333.33333333334,33,12884901894,3,6
csr-ns3-feedback-observation-v1,ota_segment,13.143000000000001,3,1,ACK,5,18,76,0,0,0,128,133333.33333333334,33,-103,1,-103,123.16724984190499,0,8,128,-36,33,12,,,,128,133333.33333333334,33,12884901894,4,6
csr-ns3-feedback-observation-v1,feedback_selection,13.174863999999999,1,3,ACK,5,19,84,0,0,0,128,133333.33333333334,33,-103,1,-103,123.16724984190499,0,8,128,-36,33,12,,,,,,,,,
csr-ns3-feedback-observation-v1,feedback_selection,13.174863999999999,1,3,ACK,6,20,86,0,0,0,128,133333.33333333334,33,-103,1,-103,123.16724984190499,0,8,128,-36,33,12,,,,,,,,,
csr-ns3-feedback-observation-v1,ota_segment,13.195,1,2,ACK,2,3,13,0,0,0,128,133333.33333333334,33,-103,1,-103,123.16724984190499,0,8,128,-36,33,12,,,,128,133333.33333333334,33,4294967302,1,11
csr-ns3-feedback-observation-v1,ota_segment,13.195,1,3,ACK,2,5,23,0,0,0,128,133333.33333333334,33,-103,1,-103,123.16724984190499,0,8,128,-36,33,12,,,,128,133333.33333333334,33,4294967302,2,11
csr-ns3-feedback-observation-v1,ota_segment,13.195,1,2,ACK,3,6,27,0,0,0,128,133333.33333333334,33,-103,1,-103,123.16724984190499,0,8,128,-36,33,12,,,,128,133333.33333333334,33,4294967302,3,11
csr-ns3-feedback-observation-v1,ota_segment,13.195,1,2,ACK,4,7,29,0,0,0,128,133333.33333333334,33,-103,1,-103,123.16724984190499,0,8,128,-36,33,12,,,,128,133333.33333333334,33,4294967302,4,11
csr-ns3-feedback-observation-v1,ota_segment,13.195,1,2,ACK,5,11,53,0,0,0,128,133333.33333333334,33,-103,1,-103,123.16724984190499,0,8,128,-36,33,12,,,,128,133333.33333333334,33,4294967302,5,11
csr-ns3-feedback-observation-v1,ota_segment,13.195,1,2,ACK,6,12,55,0,0,0,128,133333.33333333334,33,-103,1,-103,123.16724984190499,0,8,128,-36,33,12,,,,128,133333.33333333334,33,4294967302,6,11
csr-ns3-feedback-observation-v1,ota_segment,13.195,1,3,ACK,3,13,60,0,0,0,128,133333.33333333334,33,-103,1,-103,123.16724984190499,0,8,128,-36,33,12,,,,128,133333.33333333334,33,4294967302,7,11
csr-ns3-feedback-observation-v1,ota_segment,13.195,1,3,ACK,4,14,62,0,0,0,128,133333.33333333334,33,-103,1,-103,123.16724984190499,0,8,128,-36,33,12,,,,128,133333.33333333334,33,4294967302,8,11
csr-ns3-feedback-observation-v1,ota_segment,13.195,1,3,ACK,5,19,84,0,0,0,128,133333.33333333334,33,-103,1,-103,123.16724984190499,0,8,128,-36,33,12,,,,128,133333.33333333334,33,4294967302,9,11
csr-ns3-feedback-observation-v1,ota_segment,13.195,1,3,ACK,6,20,86,0,0,0,128,133333.33333333334,33,-103,1,-103,123.16724984190499,0,8,128,-36,33,12,,,,128,133333.33333333334,33,4294967302,10,11
csr-ns3-feedback-observation-v1,feedback_selection,13.231783999999999,2,1,ACK,8,21,91,0,0,0,128,133333.33333333334,33,-103,1,-103,123.16724984190499,0,8,128,-36,33,12,,,,,,,,,
csr-ns3-feedback-observation-v1,feedback_selection,13.231783999999999,3,1,ACK,6,22,93,0,0,0,128,133333.33333333334,33,-103,1,-103,123.16724984190499,0,8,128,-36,33,12,,,,,,,,,
csr-ns3-feedback-observation-v1,ota_segment,13.286,3,1,ACK,3,10,45,0,0,0,128,133333.33333333334,33,-103,1,-103,123.16724984190499,0,8,128,-36,33,12,,,,128,133333.33333333334,33,12884901895,1,4
csr-ns3-feedback-observation-v1,ota_segment,13.286,3,1,ACK,4,17,74,0,0,0,128,133333.33333333334,33,-103,1,-103,123.16724984190499,0,8,128,-36,33,12,,,,128,133333.33333333334,33,12884901895,2,4
csr-ns3-feedback-observation-v1,ota_segment,13.286,3,1,ACK,5,18,76,0,0,0,128,133333.33333333334,33,-103,1,-103,123.16724984190499,0,8,128,-36,33,12,,,,128,133333.33333333334,33,12884901895,3,4
csr-ns3-feedback-observation-v1,ota_segment,13.286,3,1,ACK,6,22,93,0,0,0,128,133333.33333333334,33,-103,1,-103,123.16724984190499,0,8,128,-36,33,12,,,,128,133333.33333333334,33,12884901895,4,4
csr-ns3-feedback-observation-v1,ota_segment,13.390000000000001,1,2,ACK,2,3,13,0,0,0,128,133333.33333333334,33,-103,1,-103,123.16724984190499,0,8,128,-36,33,12,,,,128,133333.33333333334,33,4294967303,1,10
csr-ns3-feedback-observation-v1,ota_segment,13.390000000000001,1,3,ACK,2,5,23,0,0,0,128,133333.33333333334,33,-103,1,-103,123.16724984190499,0,8,128,-36,33,12,,,,128,133333.33333333334,33,4294967303,2,10
