case,tx_id,group_id,segment_index,group_segments,tx_time_ns,arrival_ns,sender,receiver,kind,app_source,app_id,hop_seq,ack_bits,dack_bits,decision,reason,boundary_distance_ns
out,143,153,1,1,14298961028,14321042028,1,5,ACK,0,0,55,36028797018963967,0,pass,none,4798961028
out,144,154,1,1,14337961028,14360042028,1,5,ACK,0,0,55,36028797018963967,0,pass,none,4837961028
out,145,155,1,1,15132000028,15154501028,5,1,DATA,5,35,56,0,0,pass,none,5632000028
out,146,156,1,1,15182961028,15205042028,1,5,ACK,0,0,56,72057594037927935,0,pass,none,5682961028
out,147,157,1,1,15221961028,15244042028,1,5,ACK,0,0,56,72057594037927935,0,pass,none,5721961028
out,148,158,1,1,15260961028,15283042028,1,5,ACK,0,0,56,72057594037927935,0,pass,none,5760961028
out,149,159,1,1,15299961028,15322042028,1,5,ACK,0,0,56,72057594037927935,0,pass,none,5799961028
out,150,160,1,1,15338961028,15361042028,1,5,ACK,0,0,56,72057594037927935,0,pass,none,5838961028
out,151,161,1,1,16133000028,16155501028,5,1,DATA,5,36,57,0,0,pass,none,6633000028
out,152,162,1,1,16183961028,16206042028,1,5,ACK,0,0,57,144115188075855871,0,pass,none,6683961028
out,153,163,1,1,16222961028,16245042028,1,5,ACK,0,0,57,144115188075855871,0,pass,none,6722961028
out,154,164,1,1,16261961028,16284042028,1,5,ACK,0,0,57,144115188075855871,0,pass,none,6761961028
out,155,165,1,1,16300961028,16323042028,1,5,ACK,0,0,57,144115188075855871,0,pass,none,6800961028
out,156,166,1,1,16339961028,16362042028,1,5,ACK,0,0,57,144115188075855871,0,pass,none,6839961028
out,157,167,1,1,17134000028,17156501028,5,1,DATA,5,37,58,0,0,pass,none,7634000028
out,158,168,1,1,17184961028,17207042028,1,5,ACK,0,0,58,288230376151711743,0,pass,none,7684961028
out,159,169,1,1,17223961028,17246042028,1,5,ACK,0,0,58,288230376151711743,0,pass,none,7723961028
out,160,170,1,1,17262961028,17285042028,1,5,ACK,0,0,58,288230376151711743,0,pass,none,7762961028
out,161,171,1,1,17301961028,17324042028,1,5,ACK,0,0,58,288230376151711743,0,pass,none,7801961028
out,162,172,1,1,17340961028,17363042028,1,5,ACK,0,0,58,288230376151711743,0,pass,none,7840961028
out,163,173,1,1,18135000028,18157501028,5,1,DATA,5,38,59,0,0,pass,none,8635000028
