Experiment,Parameter,Value,Metric,SeedCount,FiniteCount,MissingCount,Mean,SampleStd,Min,Max
recovery_freshness,FreshnessTimeoutSeconds,60.0,DackHoldCount,3,3,0,0,0.0,0,0
recovery_freshness,FreshnessTimeoutSeconds,60.0,PhysicalPending,3,3,0,0,0.0,0,0
recovery_freshness,FreshnessTimeoutSeconds,60.0,DataDrained,3,3,0,1,0.0,1,1
recovery_freshness,FreshnessTimeoutSeconds,60.0,ControlsDrained,3,3,0,1,0.0,1,1
recovery_freshness,FreshnessTimeoutSeconds,60.0,OwnershipDrained,3,3,0,1,0.0,1,1
recovery_freshness,FreshnessTimeoutSeconds,180.0,DeliveryRatio,3,3,0,0.4,0.0,0.4,0.4
recovery_freshness,FreshnessTimeoutSeconds,180.0,LatencyP95Seconds,3,3,0,27.690552666692,2.0207470991743284,25.5752126666865,29.6011126666971
recovery_freshness,FreshnessTimeoutSeconds,180.0,MaxLatencySeconds,3,3,0,27.690552666692,2.0207470991743284,25.5752126666865,29.6011126666971
recovery_freshness,FreshnessTimeoutSeconds,180.0,Generated,3,3,0,5,0.0,5,5
recovery_freshness,FreshnessTimeoutSeconds,180.0,Received,3,3,0,2,0.0,2,2
recovery_freshness,FreshnessTimeoutSeconds,180.0,Dropped,3,3,0,3,0.0,3,3
recovery_freshness,FreshnessTimeoutSeconds,180.0,Pending,3,3,0,0,0.0,0,0
recovery_freshness,FreshnessTimeoutSeconds,180.0,PhysicalTransmissions,3,3,0,435,20.29778313018444,417,457
recovery_freshness,FreshnessTimeoutSeconds,180.0,HopDataRetransmissions,3,3,0,7.666666666666667,1.5275252316519468,6,9
recovery_freshness,FreshnessTimeoutSeconds,180.0,HopControlRetransmissions,3,3,0,18,4.58257569495584,13,22
recovery_freshness,FreshnessTimeoutSeconds,180.0,ControlFailures,3,3,0,0,0.0,0,0
recovery_freshness,FreshnessTimeoutSeconds,180.0,HopControlFailures,3,3,0,1,0.0,1,1
recovery_freshness,FreshnessTimeoutSeconds,180.0,NeighborDeactivations,3,3,0,7.666666666666667,2.0816659994661326,6,10
recovery_freshness,FreshnessTimeoutSeconds,180.0,RouteChanges,3,3,0,45.666666666666664,5.686240703077327,41,52
