case_id,step,time_s,action,packet,accepted,nsdp_relay,nsdp_local,nwk_waiting,nwk_owned,hop_pending,hop_outstanding,hop_resend,hop_holds,rx_highest,rx_ack_hex,rx_dack_hex,ack_generated,dack_generated,rx_received,rx_delivered,rx_duplicates,nsdp_releases,ack_completed,dack_completed,dack_expired,data_tx
release_idempotence,1,0.10000100000000001,LOCAL,l01,1,0,1,0,1,1,1,1,0,-1,0000000000000000,0000000000000000,0,0,0,0,0,0,0,0,0,0
release_idempotence,2,0.110001,LOCAL,l02,1,0,2,1,2,1,1,1,0,-1,0000000000000000,0000000000000000,0,0,0,0,0,0,0,0,0,0
release_idempotence,3,0.120001,TX,,-1,0,2,1,2,1,1,1,0,-1,0000000000000000,0000000000000000,0,0,0,0,0,0,0,0,0,1
release_idempotence,4,0.13000100000000001,FEEDBACK,,-1,0,1,0,1,1,1,1,0,-1,0000000000000000,0000000000000000,0,0,0,0,0,1,1,0,0,1
release_idempotence,5,0.14000099999999999,FEEDBACK,,-1,0,1,0,1,1,1,1,0,-1,0000000000000000,0000000000000000,0,0,0,0,0,1,1,0,0,1
release_idempotence,6,0.150001,TX,,-1,0,1,0,1,1,1,1,0,-1,0000000000000000,0000000000000000,0,0,0,0,0,1,1,0,0,2
release_idempotence,7,0.160001,FEEDBACK,,-1,0,0,0,0,1,1,0,1,-1,0000000000000000,0000000000000000,0,0,0,0,0,2,1,1,0,2
release_idempotence,8,0.17000100000000001,FEEDBACK,,-1,0,0,0,0,1,1,0,1,-1,0000000000000000,0000000000000000,0,0,0,0,0,2,1,1,0,2
release_idempotence,9,20.170000999999999,PROBE,,-1,0,0,0,0,0,0,0,0,-1,0000000000000000,0000000000000000,0,0,0,0,0,2,1,1,1,2
local_delivery_bypass,1,0.10000100000000001,RX,r01,-1,1,0,0,1,1,1,1,0,1,0000000000000001,0000000000000000,1,0,1,1,0,0,0,0,0,0
local_delivery_bypass,2,0.110001,RX,r02,-1,2,0,1,2,1,1,1,0,2,0000000000000003,0000000000000000,2,0,2,2,0,0,0,0,0,0
local_delivery_bypass,3,0.120001,RX,r03,-1,3,0,2,3,1,1,1,0,3,0000000000000007,0000000000000000,3,0,3,3,0,0,0,0,0,0
local_delivery_bypass,4,0.13000100000000001,RX,r04,-1,4,0,3,4,1,1,1,0,4,000000000000000F,0000000000000000,4,0,4,4,0,0,0,0,0,0
local_delivery_bypass,5,0.14000099999999999,RX,r05,-1,5,0,4,5,1,1,1,0,5,000000000000001F,0000000000000000,5,0,5,5,0,0,0,0,0,0
local_delivery_bypass,6,0.150001,RX,r06,-1,6,0,5,6,1,1,1,0,6,000000000000003F,0000000000000000,6,0,6,6,0,0,0,0,0,0
local_delivery_bypass,7,0.160001,RX,r07,-1,7,0,6,7,1,1,1,0,7,000000000000007F,0000000000000000,7,0,7,7,0,0,0,0,0,0
local_delivery_bypass,8,0.17000100000000001,RX,r08,-1,8,0,7,8,1,1,1,0,8,00000000000000FF,0000000000000000,8,0,8,8,0,0,0,0,0,0
local_delivery_bypass,9,0.18000099999999999,RX,r09,-1,9,0,8,9,1,1,1,0,9,00000000000001FF,0000000000000000,9,0,9,9,0,0,0,0,0,0
