case_id,step,time_s,action,packet,peer,accepted,threshold,ack_count,outstanding,global_pending,dack_holds,resend,can_send,ack_total,dack_total,fail_total,nsdp_release_total,retry_total,tx_total,dack_expired_total
ceiling_global_capacity,64,0.063,SEND,w22,8,1,7,0,1,1,0,1,1,21,0,0,21,0,21,0
ceiling_global_capacity,65,0.063,TX,w22,8,-1,7,0,1,1,0,1,1,21,0,0,21,0,22,0
ceiling_global_capacity,66,0.065000000000000002,FEEDBACK,,8,-1,7,1,0,0,0,0,1,22,0,0,22,0,22,0
ceiling_global_capacity,67,0.066000000000000003,SEND,w23,8,1,7,1,1,1,0,1,1,22,0,0,22,0,22,0
ceiling_global_capacity,68,0.066000000000000003,TX,w23,8,-1,7,1,1,1,0,1,1,22,0,0,22,0,23,0
ceiling_global_capacity,69,0.068000000000000005,FEEDBACK,,8,-1,7,2,0,0,0,0,1,23,0,0,23,0,23,0
ceiling_global_capacity,70,0.069000000000000006,SEND,w24,8,1,7,2,1,1,0,1,1,23,0,0,23,0,23,0
ceiling_global_capacity,71,0.069000000000000006,TX,w24,8,-1,7,2,1,1,0,1,1,23,0,0,23,0,24,0
ceiling_global_capacity,72,0.070999999999999994,FEEDBACK,,8,-1,8,0,0,0,0,0,1,24,0,0,24,0,24,0
ceiling_global_capacity,73,0.071999999999999995,SEND,w25,8,1,8,0,1,1,0,1,1,24,0,0,24,0,24,0
ceiling_global_capacity,74,0.071999999999999995,TX,w25,8,-1,8,0,1,1,0,1,1,24,0,0,24,0,25,0
ceiling_global_capacity,75,0.073999999999999996,FEEDBACK,,8,-1,8,1,0,0,0,0,1,25,0,0,25,0,25,0
ceiling_global_capacity,76,0.074999999999999997,SEND,w26,8,1,8,1,1,1,0,1,1,25,0,0,25,0,25,0
ceiling_global_capacity,77,0.074999999999999997,TX,w26,8,-1,8,1,1,1,0,1,1,25,0,0,25,0,26,0
ceiling_global_capacity,78,0.076999999999999999,FEEDBACK,,8,-1,8,2,0,0,0,0,1,26,0,0,26,0,26,0
ceiling_global_capacity,79,0.078,SEND,w27,8,1,8,2,1,1,0,1,1,26,0,0,26,0,26,0
ceiling_global_capacity,80,0.078,TX,w27,8,-1,8,2,1,1,0,1,1,26,0,0,26,0,27,0
ceiling_global_capacity,81,0.080000000000000002,FEEDBACK,,8,-1,9,0,0,0,0,0,1,27,0,0,27,0,27,0
ceiling_global_capacity,82,0.081000000000000003,SEND,w28,8,1,9,0,1,1,0,1,1,27,0,0,27,0,27,0
ceiling_global_capacity,83,0.081000000000000003,TX,w28,8,-1,9,0,1,1,0,1,1,27,0,0,27,0,28,0
ceiling_global_capacity,84,0.083000000000000004,FEEDBACK,,8,-1,9,1,0,0,0,0,1,28,0,0,28,0,28,0
ceiling_global_capacity,85,0.084000000000000005,SEND,w29,8,1,9,1,1,1,0,1,1,28,0,0,28,0,28,0
ceiling_global_capacity,86,0.084000000000000005,TX,w29,8,-1,9,1,1,1,0,1,1,28,0,0,28,0,29,0
ceiling_global_capacity,87,0.085999999999999993,FEEDBACK,,8,-1,9,2,0,0,0,0,1,29,0,0,29,0,29,0
ceiling_global_capacity,88,0.086999999999999994,SEND,w30,8,1,9,2,1,1,0,1,1,29,0,0,29,0,29,0
ceiling_global_capacity,89,0.086999999999999994,TX,w30,8,-1,9,2,1,1,0,1,1,29,0,0,29,0,30,0
ceiling_global_capacity,90,0.088999999999999996,FEEDBACK,,8,-1,10,0,0,0,0,0,1,30,0,0,30,0,30,0
ceiling_global_capacity,91,0.089999999999999997,SEND,w31,8,1,10,0,1,1,0,1,1,30,0,0,30,0,30,0
ceiling_global_capacity,92,0.089999999999999997,TX,w31,8,-1,10,0,1,1,0,1,1,30,0,0,30,0,31,0
ceiling_global_capacity,93,0.091999999999999998,FEEDBACK,,8,-1,10,1,0,0,0,0,1,31,0,0,31,0,31,0
ceiling_global_capacity,94,0.092999999999999999,SEND,w32,8,1,10,1,1,1,0,1,1,31,0,0,31,0,31,0
ceiling_global_capacity,95,0.092999999999999999,TX,w32,8,-1,10,1,1,1,0,1,1,31,0,0,31,0,32,0
ceiling_global_capacity,96,0.095000000000000001,FEEDBACK,,8,-1,10,2,0,0,0,0,1,32,0,0,32,0,32,0
ceiling_global_capacity,97,0.096000000000000002,SEND,w33,8,1,10,2,1,1,0,1,1,32,0,0,32,0,32,0
ceiling_global_capacity,98,0.096000000000000002,TX,w33,8,-1,10,2,1,1,0,1,1,32,0,0,32,0,33,0
ceiling_global_capacity,99,0.098000000000000004,FEEDBACK,,8,-1,11,0,0,0,0,0,1,33,0,0,33,0,33,0
ceiling_global_capacity,100,0.099000000000000005,SEND,w34,8,1,11,0,1,1,0,1,1,33,0,0,33,0,33,0
ceiling_global_capacity,101,0.099000000000000005,TX,w34,8,-1,11,0,1,1,0,1,1,33,0,0,33,0,34,0
ceiling_global_capacity,102,0.10100000000000001,FEEDBACK,,8,-1,11,1,0,0,0,0,1,34,0,0,34,0,34,0
ceiling_global_capacity,103,0.10199999999999999,SEND,w35,8,1,11,1,1,1,0,1,1,34,0,0,34,0,34,0
ceiling_global_capacity,104,0.10199999999999999,TX,w35,8,-1,11,1,1,1,0,1,1,34,0,0,34,0,35,0
ceiling_global_capacity,105,0.104,FEEDBACK,,8,-1,11,2,0,0,0,0,1,35,0,0,35,0,35,0
ceiling_global_capacity,106,0.105,SEND,w36,8,1,11,2,1,1,0,1,1,35,0,0,35,0,35,0
ceiling_global_capacity,107,0.105,TX,w36,8,-1,11,2,1,1,0,1,1,35,0,0,35,0,36,0
ceiling_global_capacity,108,0.107,FEEDBACK,,8,-1,12,0,0,0,0,0,1,36,0,0,36,0,36,0
ceiling_global_capacity,109,0.108,SEND,w37,8,1,12,0,1,1,0,1,1,36,0,0,36,0,36,0
ceiling_global_capacity,110,0.108,TX,w37,8,-1,12,0,1,1,0,1,1,36,0,0,36,0,37,0
ceiling_global_capacity,111,0.11,FEEDBACK,,8,-1,12,1,0,0,0,0,1,37,0,0,37,0,37,0
ceiling_global_capacity,112,0.111,SEND,w38,8,1,12,1,1,1,0,1,1,37,0,0,37,0,37,0
ceiling_global_capacity,113,0.111,TX,w38,8,-1,12,1,1,1,0,1,1,37,0,0,37,0,38,0
ceiling_global_capacity,114,0.113,FEEDBACK,,8,-1,12,2,0,0,0,0,1,38,0,0,38,0,38,0
ceiling_global_capacity,115,0.114,SEND,w39,8,1,12,2,1,1,0,1,1,38,0,0,38,0,38,0
ceiling_global_capacity,116,0.114,TX,w39,8,-1,12,2,1,1,0,1,1,38,0,0,38,0,39,0
ceiling_global_capacity,117,0.11600000000000001,FEEDBACK,,8,-1,13,0,0,0,0,0,1,39,0,0,39,0,39,0
ceiling_global_capacity,118,0.11700000000000001,SEND,w40,8,1,13,0,1,1,0,1,1,39,0,0,39,0,39,0
ceiling_global_capacity,119,0.11700000000000001,TX,w40,8,-1,13,0,1,1,0,1,1,39,0,0,39,0,40,0
ceiling_global_capacity,120,0.11899999999999999,FEEDBACK,,8,-1,13,1,0,0,0,0,1,40,0,0,40,0,40,0
ceiling_global_capacity,121,0.12,SEND,w41,8,1,13,1,1,1,0,1,1,40,0,0,40,0,40,0
ceiling_global_capacity,122,0.12,TX,w41,8,-1,13,1,1,1,0,1,1,40,0,0,40,0,41,0
